"","CdStationHydro","CdStationHydroAncienRef","LbStationHydro","TypStationHydro","DtMiseServiceStationHydro","DtFermetureStationHydro","ProjCoordStationHydro","CoordXStationHydro","CoordYStationHydro","NomIntervenant","LbAffichageStationHydro"
"76","A142035101","A1424010","Le ruisseau Rimbachruntz à Mollau","STD","1977-03-01 00:00:00+01","1985-03-01 12:00:00+01","26",996821,6759846,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"77","A143020001","A1432000","La Thur à Willer-sur-Thur","STD","1952-10-27 00:00:00+01","1966-05-27 10:00:00+01","26",1004411,6756861,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"78","A143020002","A1432010","La Thur à Willer-sur-Thur","STD","1966-05-27 00:00:00+01",NA,"26",1004411,6756861,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"79","A143069001","A1436910","Le ruisseau Wissbach à Willer-sur-Thur","STD","1979-11-09 00:00:00+01","2001-06-05 10:50:00+02","26",1004986,6758006,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"80","A146020001","A1462010","La Thur à Ensisheim","STD","1957-01-01 12:00:00+01","1976-08-10 12:00:00+02","26",1024077,6760919,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"81","A146020101","A1462030","La Thur à Ensisheim [2]","STD","1977-07-19 00:00:00+02","1989-01-01 12:00:00+01","26",1023253,6759939,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"82","A146020301","A1462020","La Thur à Staffelfelden","STD","1974-12-17 00:00:00+01","2001-06-26 11:30:00+02","26",1018922,6756028,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"83","A146020302","A1462050","La Thur à Pulversheim","STD","2001-09-27 00:00:00+02",NA,"26",1020463,6757852,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"84","A147003001","A1320310","L'Ill à Oberhergheim","STD","1970-12-02 00:00:00+01","2000-10-13 08:40:00+02","26",1028074,6772167,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"85","A147003101","A1340310","L'Ill à Horbourg-Wihr [Pont de Horbourg]","STD","1957-05-01 00:00:00+01","1985-09-01 12:00:00+02","26",1027114,6783738,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"86","A147004001","A1470030","L'Ill à Sundhoffen","STD","1997-10-29 00:00:00+01",NA,"26",1029049,6780467,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"87","A147004101",NA,"L'Ill à Meyenheim","STD","2019-10-14 00:00:00+02",NA,"26",1025525,6765970,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail"
"88","A150020001","A1502040","La Lauch à Linthal - Saegmatten","STD","1975-06-12 00:00:00+01",NA,"26",1006556,6768117,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"89","A150020002","A1502030","La Lauch à Linthal - Saegmatten [Ancienne]","STD","1951-01-01 00:00:00+01","1972-01-01 12:00:00+01","26",1006345,6767978,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"90","A150020003","A1502020","La Lauch à Linthal - Schmeitzruntz","STD","1961-05-01 00:00:00+01","1978-01-01 12:00:00+01","26",1005433,6767483,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"91","A150020101","A1502010","La Lauch à Linthal [Lac de la Lauch]","STD","1960-05-01 00:00:00+01","1973-03-01 12:00:00+01","26",1001973,6767139,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"92","A150066001","A1506610","La Lauch à Linthal [Schmeitzruntz]","STD","1960-05-01 00:00:00+01","1970-01-01 12:00:00+01","26",1005752,6767564,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"93","A151020001","A1512010","La Lauch à Buhl","STD","1965-01-01 00:00:00+01","1978-01-01 12:00:00+01","26",1013417,6766335,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"94","A151058001","A1515810","Le ruisseau de Murbach à Buhl","STD","1965-01-01 00:00:00+01","1978-01-01 12:00:00+01","26",1011884,6766244,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"95","A152020001","A1522020","La Lauch à Guebwiller","STD","1975-10-16 00:00:00+01",NA,"26",1014510,6765133,"DREAL Grand Est - UH Rhin-Sarre","Vigicrues/HydroPortail/Hydro 2"
"96","A153030001","A1554010","Le ruisseau l'Ohmbach à Westhalten [1]","STD","1972-09-14 00:00:00+01","1977-09-15 12:00:00+02","26",1017830,6770064,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"97","A153030002","A1554020","Le ruisseau l'Ohmbach à Westhalten [1] - 2","STD","1977-09-15 00:00:00+02","1994-05-03 12:00:00+02","26",1018409,6769814,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"98","A153030003","A1554030","Le ruisseau l'Ohmbach à Westhalten [1] - 3","STD","1996-10-24 00:00:00+02","2001-01-16 10:40:00+01","26",1017830,6770064,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"99","A156020001","A1552020","La Lauch à Eguisheim","STD","1971-03-29 00:00:00+01","1992-05-05 12:00:00+02","26",1023843,6779360,"DREAL Grand Est - UH Rhin-Sarre","HydroPortail/Hydro 2"
"100","A156020101","A1560205","La Lauch à Rouffach","STD","2014-03-18 00:00:00+01",NA,"26",1021541,6771000,"Conseil Général du Haut-Rhin","Vigicrues/HydroPortail/Hydro 2"
