Unnamed: 0 (2),codehydro,nom,courdo,mnemo,comment,codesitehydro3,Site,Name_station,Geometry,File_location,Commentaire,start_day_2015,end_day_2015,duration_2015,minima_day_2015,minima_value_2015,minima_norm_all_2015,integral_2015,integral_norm_year_2015,integral_norm_all_2015,start_day_2016,end_day_2016,duration_2016,minima_day_2016,minima_value_2016,minima_norm_all_2016,integral_2016,integral_norm_year_2016,integral_norm_all_2016,start_day_2017,end_day_2017,duration_2017,minima_day_2017,minima_value_2017,minima_norm_all_2017,integral_2017,integral_norm_year_2017,integral_norm_all_2017,start_day_2018,end_day_2018,duration_2018,minima_day_2018,minima_value_2018,minima_norm_all_2018,integral_2018,integral_norm_year_2018,integral_norm_all_2018,start_day_2019,end_day_2019,duration_2019,minima_day_2019,minima_value_2019,minima_norm_all_2019,integral_2019,integral_norm_year_2019,integral_norm_all_2019,start_day_2020,end_day_2020,duration_2020,minima_day_2020,minima_value_2020,minima_norm_all_2020,integral_2020,integral_norm_year_2020,integral_norm_all_2020,start_day_2021,end_day_2021,duration_2021,minima_day_2021,minima_value_2021,minima_norm_all_2021,integral_2021,integral_norm_year_2021,integral_norm_all_2021,start_day_2022,end_day_2022,duration_2022,minima_day_2022,minima_value_2022,minima_norm_all_2022,integral_2022,integral_norm_year_2022,integral_norm_all_2022,start_day_2023,end_day_2023,duration_2023,minima_day_2023,minima_value_2023,minima_norm_all_2023,integral_2023,integral_norm_year_2023,integral_norm_all_2023,start_day_2024,end_day_2024,duration_2024,minima_day_2024,minima_value_2024,minima_norm_all_2024,integral_2024,integral_norm_year_2024,integral_norm_all_2024,start_day_2025,end_day_2025,duration_2025,minima_day_2025,minima_value_2025,minima_norm_all_2025,integral_2025,integral_norm_year_2025,integral_norm_all_2025,start_day _ 2015,end_day _ 2015,duration _ 2015,minima_day _ 2015,minima_value _ 2015,minima_norm_all _ 2015,integral _ 2015,integral_norm_year _ 2015,integral_norm_all _ 2015,start_day _ 2016,end_day _ 2016,duration _ 2016,minima_day _ 2016,minima_value _ 2016,minima_norm_all _ 2016,integral _ 2016,integral_norm_year _ 2016,integral_norm_all _ 2016,start_day _ 2017,end_day _ 2017,duration _ 2017,minima_day _ 2017,minima_value _ 2017,minima_norm_all _ 2017,integral _ 2017,integral_norm_year _ 2017,integral_norm_all _ 2017,start_day _ 2018,end_day _ 2018,duration _ 2018,minima_day _ 2018,minima_value _ 2018,minima_norm_all _ 2018,integral _ 2018,integral_norm_year _ 2018,integral_norm_all _ 2018,start_day _ 2019,end_day _ 2019,duration _ 2019,minima_day _ 2019,minima_value _ 2019,minima_norm_all _ 2019,integral _ 2019,integral_norm_year _ 2019,integral_norm_all _ 2019,start_day _ 2020,end_day _ 2020,duration _ 2020,minima_day _ 2020,minima_value _ 2020,minima_norm_all _ 2020,integral _ 2020,integral_norm_year _ 2020,integral_norm_all _ 2020,start_day _ 2021,end_day _ 2021,duration _ 2021,minima_day _ 2021,minima_value _ 2021,minima_norm_all _ 2021,integral _ 2021,integral_norm_year _ 2021,integral_norm_all _ 2021,start_day _ 2022,end_day _ 2022,duration _ 2022,minima_day _ 2022,minima_value _ 2022,minima_norm_all _ 2022,integral _ 2022,integral_norm_year _ 2022,integral_norm_all _ 2022,start_day _ 2023,end_day _ 2023,duration _ 2023,minima_day _ 2023,minima_value _ 2023,minima_norm_all _ 2023,integral _ 2023,integral_norm_year _ 2023,integral_norm_all _ 2023,start_day _ 2024,end_day _ 2024,duration _ 2024,minima_day _ 2024,minima_value _ 2024,minima_norm_all _ 2024,integral _ 2024,integral_norm_year _ 2024,integral_norm_all _ 2024,start_day _ 2025,end_day _ 2025,duration _ 2025,minima_day _ 2025,minima_value _ 2025,minima_norm_all _ 2025,integral _ 2025,integral_norm_year _ 2025,integral_norm_all _ 2025,Unnamed: 0 (1),nosta,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,datemaj,typemes,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,synchronisation,region,Unnamed: 0,Surface_bv..km..,Altitude..m.,en_service,Start.Year,End.Year,X..of.data.points,X..of.positive.points,average.of.data.points,X..of.singular.years,condition,over_15points,over_2years,negative_average,no_postive_points,Surface_bv..km...1,Altitude..m..1,Start.Year.1,End.Year.1,X..of.data.points.1,X..of.positive.points.1,average.of.data.points.1,X..of.singular.years.1
A770101001,A7701010,CHAMBREY,la seille,CHAM,,,A7701010,La Seille à Chambrey,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.457076099341453, 48.78397854784593]}",Correction_data/A770101001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,138,62,131,-470,0.722105,-7.11206e+08,1.5132e+06,1.09269e+06,109,331,222,193,-550,0.845016,-5.47714e+09,9.95844e+06,8.41505e+06,176,337,161,215,-270,0.414826,-2.56939e+09,9.51625e+06,3.94759e+06,114,344,230,177,-600,0.921836,-3.93034e+09,6.55056e+06,6.03854e+06,122,336,214,188,-650,0.998656,-5.4743e+09,8.42201e+06,8.41068e+06,125,356,231,175,-740,1.13693,-6.54264e+09,8.84141e+06,1.00521e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,627,129,,,,,S,114570,4.38,0.8,33,43,49,2003-07-03 00:00:00,10,,,,,,2016-03-15 14:23:00,?,,Moselle,54,560,199,True,2008,2050,152,0,-0.208941,19,,,,,,,,,,,,,
A802101001,A8021010,ÉTAIN,l'orne,ÉTAI,,,A8021010,L'Orne à Étain,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.6324841284665155, 49.21360954107115]}",Correction_data/A802101001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,324,110,266,-180,0.99723,-1.2299e+09,6.8328e+06,6.81387e+06,210,330,120,265,-120,0.66482,-7.992e+08,6.66e+06,4.4277e+06,130,271,141,158,-70,0.387812,-4.28112e+08,6.11589e+06,2.37181e+06,190,337,147,290,-190,1.05263,-9.67248e+08,5.09078e+06,5.35871e+06,234,294,60,268,-40,0.221607,-1.0368e+08,2.592e+06,574404,,,,,,,,,,195,244,49,208,-50,0.277008,-1.0584e+08,2.1168e+06,586371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629,131,,,,,S,114570,1.08,0.052,20,26,30,2003-04-24 00:00:00,,,,,,,2016-04-29 11:15:00,?,,Moselle,32,135,199,True,2015,2050,48,0,-0.0464583,9,,,,,,,,,,,,,
A820101001,A8201010,JARNY [LABRY],l'orne,LABR,,A8201010,A8201010,L'Orne à Jarny [Labry],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.881716086674118, 49.167701088337935]}",Correction_data/A820101001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,324,191,231,-490,1.66667,-3.49445e+09,7.13153e+06,1.18859e+07,179,330,151,243,-210,0.714286,-1.44158e+09,6.86469e+06,4.90335e+06,91,318,227,207,-90,0.306122,-5.74431e+08,6.38257e+06,1.95385e+06,136,337,201,163,-100,0.340136,-9.88416e+08,9.88416e+06,3.36196e+06,94,294,200,268,-110,0.37415,-8.75664e+08,7.96058e+06,2.97845e+06,122,217,95,168,-80,0.272109,-3.59871e+08,4.49839e+06,1.22405e+06,161,244,83,188,-85,0.289116,-2.44719e+08,2.87905e+06,832378,123,271,148,151,-50,0.170068,-2.6136e+08,5.2272e+06,888980,,,,,,,,,,,,,,,,,,,,,,,,,,,,639,142,,,,,S,114570,,,,,,?,0,,,,,,2021-05-25 16:41:00,?,,Moselle,73,827,186,True,2011,2050,100,0,-0.0513,16,,,,,,,,,,,,,
A812200001,A8122000,HANNONVILLE-SUZÉMONT,l'yron,HANN,,,A8122000,L'Yron à Hannonville-Suzémont,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.837080625797896, 49.0987764065764]}",Correction_data/A812200001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,324,175,267,-90,0.965147,-6.588e+08,7.32e+06,7.06488e+06,,,,,,,,,,102,207,105,130,-30,0.321716,-1.72368e+08,5.7456e+06,1.84845e+06,114,254,140,136,-40,0.428954,-2.56608e+08,6.4152e+06,2.75183e+06,,,,,,,,,,122,317,195,169,-60,0.643432,-6.2208e+08,1.0368e+07,6.6711e+06,,,,,,,,,,151,271,120,165,-100,1.07239,-3.38688e+08,3.38688e+06,3.63204e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,143,,,,,S,114570,0.893,0.06,13,18,21,2002-05-15 00:00:00,0,,,,,,2016-06-09 10:33:00,?,,Moselle,39,131,197,True,2011,2050,49,0,-0.034898,10,,,,,,,,,,,,,
A994202001,A9942020,FILSTROFF,la nied,FILS,,,A9942020,La Nied à Filstroff,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.545266798965111, 49.32438087893787]}",Correction_data/A994202001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,324,245,208,-220,0.801457,-2.44771e+09,1.1126e+07,8.91698e+06,172,328,156,231,-90,0.327869,-7.87359e+08,8.74843e+06,2.86834e+06,123,331,208,255,-230,0.837887,-2.44781e+09,1.06427e+07,8.91735e+06,108,337,229,200,-270,0.983607,-3.74683e+09,1.38771e+07,1.36496e+07,92,346,254,218,-290,1.05647,-3.36658e+09,1.16089e+07,1.22644e+07,134,351,217,231,-250,0.910747,-2.59027e+09,1.03611e+07,9.43633e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,645,148,,,,,S,114570,10.5,1.4,97,140,170,2003-03-03 00:00:00,0,,,,,,2016-07-08 08:15:00,?,,Moselle,26,1170,189,True,2004,2050,199,0,-0.10593,22,,,,,,,,,,,,,
A840101001,A8401010,MOYEUVRE-GRANDE,l'orne,MOYG,,,A8401010,L'Orne à Moyeuvre-Grande,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.041718823626392, 49.24863133550724]}",Correction_data/A840101001.csv,Ouvrage hydraulique en amont de la station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,324,227,204,-210,0.644666,-1.51972e+09,7.23675e+06,4.66529e+06,179,366,187,186,-30,0.0920952,-3.34368e+08,1.11456e+07,1.02646e+06,91,318,227,235,-360,1.10514,-2.93867e+09,8.16296e+06,9.02123e+06,164,337,173,255,-200,0.613968,-1.25496e+09,6.2748e+06,3.85252e+06,156,294,138,239,-310,0.95165,-1.99843e+09,6.44655e+06,6.13486e+06,122,306,184,239,-230,0.706063,-1.6088e+09,6.9948e+06,4.93877e+06,160,244,84,208,-50,0.153492,-1.62432e+08,3.24864e+06,498640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682,190,,,,,S,114570,8,0.56,110,140,160,?,0,,,,,,2018-09-13 09:44:00,2007-03-12 14:42:00,,Moselle,33,1144,170,True,2011,2050,95,0,-0.0766737,13,,,,,,,,,,,,,
A807101001,A8071010,BONCOURT,l'orne,BONC,,A8071010,A8071010,L'Orne à Boncourt,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.8304665438946515, 49.16256571618245]}",Correction_data/A807101001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133,231,98,203,-70,0.493827,-3.44736e+08,4.9248e+06,2.432e+06,210,330,120,308,-50,0.352734,-3.27589e+08,6.55178e+06,2.31103e+06,102,318,216,158,-150,1.0582,-1.16929e+09,7.79526e+06,8.24895e+06,190,337,147,290,-120,0.846561,-7.08048e+08,5.9004e+06,4.99505e+06,156,294,138,268,-70,0.493827,-6.22944e+08,8.8992e+06,4.39467e+06,122,282,160,259,-170,1.19929,-1.19275e+09,7.01619e+06,8.41448e+06,160,365,205,208,-110,0.776014,-8.4024e+08,7.63855e+06,5.92762e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,714,1,,,,412,S,114570,3.66,0.12,56,78,93,2003-04-24 00:00:00,,,,,,,2021-05-25 16:44:00,?,,Moselle,61,399,185,True,2010,2050,106,0,-0.0445,17,,,,,,,,,,,,,
A832201001,A8322010,BRIEY,le woigot,BRIE,,,A8322010,Le Woigot à Briey,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [5.933377577747922, 49.24695295880647]}",Correction_data/A832201001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,167,98,153,-60,1.05263,-1.96992e+08,3.2832e+06,3.456e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,716,3,,,,75,S,114570,1.25,0.21,17,25,30,?,,,,,,,2016-03-10 13:47:00,?,,Moselle,67,75,204,True,2008,2050,53,0,-0.0222642,9,,,,,,,,,,,,,
A443064001,A4250640,ÉPINAL,la moselle,ÉPIN,"creation 1960 station automatiser depuis 1997
code de la base hydro le 07/07/2003=A4250640
prochain code A4430640",A4430640,A4430640,La Moselle à Épinal,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.452980629862224, 48.16566623348259]}",Correction_data/A443064001.csv,Station dite 'à herbe' ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,324,291,168,-220,1.03529,-2.04667e+09,9.30307e+06,9.63141e+06,122,366,244,150,-150,0.705882,-1.5889e+09,1.05926e+07,7.47716e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,727,14,906.1,2359.84,,1220,S,114570,38,5.5,370,510,600,2003-07-08 00:00:00,,,,,,,2019-01-24 16:39:00,?,,Moselle,29,1217,324,True,1968,2050,287,0,-0.0589895,45,,,,,,,,,,,,,
A673122001,A6731220,GERBÉVILLER,la mortagne,GERB,"gps maison z= 229
meteo x=0909411,y=2395830,z=263",A6731220,A6731220,La Mortagne à Gerbéviller,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.52447212265037, 48.48706774877082]}",Correction_data/A673122001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121,245,124,154,-110,1.07843,-5.04415e+08,4.5856e+06,4.94525e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,731,18,909579,2.39593e+06,,493,S,114570,5.7,1.2,68,99,120,2002-06-28 00:00:00,0,,,,,,2017-06-08 17:25:00,?,,Moselle,56,493,233,True,2011,2050,34,0,-0.0283529,9,,,,,,,,,,,,,
A543101001,A5431010,PULLIGNY,le madon,PULL,gps maison z=232 !!!,A5431010,A5431010,Le Madon à Pulligny,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.1315457560000075, 48.545355659412905]}",Correction_data/A543101001.csv,Station à herbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,314,189,192,-60,0.662983,-5.62431e+08,9.37385e+06,6.21471e+06,123,324,201,198,-100,1.10497,-9.65901e+08,9.65901e+06,1.06729e+07,136,295,159,234,-90,0.994475,-7.59024e+08,8.4336e+06,8.38701e+06,148,307,159,174,-90,0.994475,-6.98112e+08,7.7568e+06,7.71394e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,747,34,880234,2.40094e+06,,940,S,114570,10.5,1.2,160,220,270,2002-06-21 00:00:00,0,,,,,,2022-05-09 10:33:00,?,,Moselle,64,943,225,True,1999,2050,176,0,-0.0345114,25,,,,,,,,,,,,,
A843101001,A8431010,ROSSELANGE,l'orne,ROSS,,,A8431010,L'Orne à Rosselange,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.072001470924632, 49.256392246365735]}",Correction_data/A843101001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,219,88,159,-90,1.09756,-4.703e+08,5.22555e+06,5.73536e+06,164,262,98,255,-20,0.243902,-8.4672e+07,4.2336e+06,1.03259e+06,156,294,138,184,-40,0.487805,-3.12336e+08,7.8084e+06,3.80898e+06,168,217,49,198,-30,0.365854,-6.35238e+07,2.11746e+06,774680,160,208,48,188,-50,0.609756,-1.0368e+08,2.0736e+06,1.26439e+06,151,208,57,165,-80,0.97561,-1.80144e+08,2.2518e+06,2.19688e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,750,37,,,,1230,S,114570,12.2,1.2,150,210,250,?,,,,,,,2017-04-13 15:02:00,?,,Moselle,72,1238,164,True,2006,2050,91,0,-0.0334066,15,,,,,,,,,,,,,
A670121001,A6701210,ROVILLE-AUX-CHÊNES,la mortagne,ROVI,gps maison z=238,A6701210,A6701210,La Mortagne à Roville-aux-Chênes,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.613858406865742, 48.36876282897321]}",Correction_data/A670121001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,365,284,185,-150,1.07488,-1.74825e+09,1.1655e+07,1.25277e+07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,759,46,916847,2.3832e+06,,300,S,114570,3.69,0.86,48,65,77,2003-09-01 00:00:00,0,,,,,,2018-05-18 11:35:00,?,,Moselle,43,300,271,True,2013,2050,79,0,-0.0401899,12,,,,,,,,,,,,,
A436203001,A4362030,CHENIMÉNIL,la vologne,CHEN,creation 1988,A4362030,A4362030,La Vologne à Cheniménil,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.603384720859391, 48.13289237041403]}",Correction_data/A436203001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132,324,192,168,-40,0.48048,-4.24361e+08,1.0609e+07,5.09743e+06,164,336,172,202,-50,0.600601,-3.30707e+08,6.61415e+06,3.97246e+06,71,305,234,172,-90,1.08108,-8.88365e+08,9.87072e+06,1.0671e+07,67,337,270,171,-30,0.36036,-4.91997e+08,1.63999e+07,5.90987e+06,107,324,217,163,-80,0.960961,-8.77824e+08,1.09728e+07,1.05444e+07,92,357,265,176,-80,0.960961,-1.09426e+09,1.36782e+07,1.31442e+07,201,334,133,229,-70,0.840841,-3.99168e+08,5.7024e+06,4.79481e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,761,48,917523,2.35691e+06,,355,S,114570,9.54,1.6,63,84,98,2002-06-14 00:00:00,0,,,,,,2022-04-06 15:21:00,?,,Moselle,59,355,370,True,2006,2050,116,0,-0.0356638,17,,,,,,,,,,,,,
A873201001,A8732010,KOENIGSMACKER (LA CANNER),la canner,KOEN, gps de la maison  z=140!!!,,A8732010,Le Canner à Kœnigsmacker,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.272360240773493, 49.39188544449565]}",Correction_data/A873201001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,282,222,246,-50,1,-4.7952e+08,9.5904e+06,9.5904e+06,189,321,132,239,-30,0.6,-2.03586e+08,6.78621e+06,4.07173e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,766,53,885909,2.49551e+06,,110,S,114570,0.871,0.17,18,28,35,2002-06-21 00:00:00,0,,,,,,2016-04-11 09:54:00,?,,Moselle,53,110,150,True,2014,2016,18,0,-0.0188889,3,,,,,,,,,,,,,
A758102001,A7581020,MOYENVIC,la seille,MOYE,gps maison z=204!!!!,,A7581020,La Seille à Moyenvic,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.567826578942335, 48.780882802722886]}",Correction_data/A758102001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,287,208,187,-80,0.194529,-9.76752e+08,1.22094e+07,2.37508e+06,106,181,75,157,-500,1.21581,-8.84313e+08,1.76863e+06,2.1503e+06,109,365,256,166,-140,0.340426,-1.08618e+09,7.75841e+06,2.64116e+06,157,337,180,282,-80,0.194529,-7.68108e+08,9.60135e+06,1.86774e+06,86,276,190,177,-160,0.389058,-1.56557e+09,9.7848e+06,3.80685e+06,134,336,202,188,-140,0.340426,-1.64981e+09,1.17843e+07,4.01169e+06,125,341,216,175,-290,0.705167,-2.22955e+09,7.68811e+06,5.4214e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,768,56,911006,2.42872e+06,,352,S,114570,2.88,0.38,22,31,37,2003-09-05 00:00:00,0,,,,,,2019-08-08 15:02:00,?,,Moselle,48,352,199,True,2009,2050,130,0,-0.0785385,17,,,,,,,,,,,,,
A986201001,A9862010,VARIZE,la nied allemande,VARI,coordonnees lambert faite avec le gps maison z=207,,A9862010,La Nied Allemande à Varize,"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.446070936102739, 49.14244177523799]}",Correction_data/A986201001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151,313,162,252,-64,0.8,-5.94231e+08,9.28486e+06,7.42789e+06,189,328,139,307,-80,1,-4.153e+08,5.19125e+06,5.19125e+06,151,276,125,235,-50,0.625,-3.60258e+08,7.20516e+06,4.50323e+06,173,331,158,200,-50,0.625,-3.64951e+08,7.29902e+06,4.56189e+06,149,282,133,218,-80,1,-4.63536e+08,5.7942e+06,5.7942e+06,183,281,98,252,-40,0.5,-1.45584e+08,3.6396e+06,1.8198e+06,215,307,92,245,-30,0.375,-1.54656e+08,5.1552e+06,1.9332e+06,110,158,48,131,-20,0.25,-4.1472e+07,2.0736e+06,518400,,,,,,,,,,,,,,,,,,,,,,,,,,,,769,58,899968,2.46844e+06,,364,S,114570,3.57,0.35,39,55,66,2002-06-21 00:00:00,0,,,,,,2016-02-12 14:24:00,?,,Moselle,65,364,204,True,2008,2050,123,0,-0.0239593,19,,,,,,,,,,,,,
A975201001,A9752010,CONDÉ-NORTHEN,la nied française,COND,coordonnees lambert faite avec le gps maison z=197,,A9752010,La Nied [Française] à Condé-Northen [Pontigny],"{'type': 'Point', 'crs': {'type': 'name', 'properties': {'name': 'urn:ogc:def:crs:OGC:1.3:CRS84'}}, 'coordinates': [6.421310647784298, 49.14678428316906]}",Correction_data/A975201001.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,279,90,231,-20,0.155945,-9.4176e+07,4.7088e+06,734316,206,276,70,235,-40,0.311891,-1.5552e+08,3.888e+06,1.21263e+06,107,337,230,221,-26,0.202729,-3.71611e+08,1.42927e+07,2.89755e+06,92,323,231,249,-90,0.701754,-9.85824e+08,1.09536e+07,7.68674e+06,134,281,147,211,-120,0.935673,-8.2944e+08,6.912e+06,6.46737e+06,146,328,182,307,-80,0.623782,-7.00272e+08,8.7534e+06,5.46021e+06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,770,59,898126,2.46882e+06,,499,S,114570,3.83,0.45,47,72,88,2002-06-21 00:00:00,0,,,,,,2016-02-12 15:08:00,?,,Moselle,62,499,205,True,2011,2050,96,0,-0.0320208,14,,,,,,,,,,,,,
