,start_day_1986,start_day_1987,start_day_1988,start_day_1989,start_day_1990,start_day_1991,start_day_1992,start_day_1993,start_day_1994,start_day_1995,start_day_1996,start_day_1997,start_day_1998,start_day_1999,start_day_2000,start_day_2001,start_day_2002,start_day_2003,start_day_2004,start_day_2005,start_day_2006,start_day_2007,start_day_2008,start_day_2009,start_day_2010,start_day_2011,start_day_2012,start_day_2013,start_day_2014,start_day_2015,start_day_2016,start_day_2017,start_day_2018,start_day_2019,start_day_2020,start_day_2021,start_day_2022,start_day_2023,start_day_2024,start_day_2025,end_day_1986,end_day_1987,end_day_1988,end_day_1989,end_day_1990,end_day_1991,end_day_1992,end_day_1993,end_day_1994,end_day_1995,end_day_1996,end_day_1997,end_day_1998,end_day_1999,end_day_2000,end_day_2001,end_day_2002,end_day_2003,end_day_2004,end_day_2005,end_day_2006,end_day_2007,end_day_2008,end_day_2009,end_day_2010,end_day_2011,end_day_2012,end_day_2013,end_day_2014,end_day_2015,end_day_2016,end_day_2017,end_day_2018,end_day_2019,end_day_2020,end_day_2021,end_day_2022,end_day_2023,end_day_2024,end_day_2025
K565301001 ORMEDIOT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,NA,NA,NA,NA,152,261,119,NA,NA,41,74,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243,NA,NA,NA,NA,205,325,310,NA,NA,251,201,345,NA
M107302001 CONIE-MOLITARD [PONT DE BLEUET],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,75,NA,76,77,111,83,130,81,56,72,82,NA,43,NA,NA,65,61,69,67,52,46,43,97,108,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,306,NA,353,266,196,257,170,365,214,237,248,NA,348,NA,NA,274,365,219,314,267,232,263,192,327,251,NA
K441409001 MEUNG-SUR-LOIRE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87,1,91,56,6,116,61,144,40,NA,18,130,61,46,54,169,89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,350,263,224,281,278,208,258,297,259,NA,203,187,218,250,191,181,106,NA
K485300001 NAZELLES-NÉGRON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,126,NA,128,166,101,94,120,84,80,101,105,121,247,117,NA,67,296,100,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,223,223,NA,167,298,340,331,283,335,296,309,359,305,320,170,NA,218,299,289,NA,NA,271,NA
K659302001 MEUSNES [GUÉ AU LOUP],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,93,NA,168,115,141,112,88,91,100,NA,152,83,153,152,199,121,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,298,352,330,305,307,350,299,NA,278,244,160,347,354,253,NA,NA,NA,NA,299,NA
K622091003 SELLES-SUR-CHER - PONT D956A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122,NA,146,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,128,NA,365,NA,NA,NA,NA,NA,353,NA,NA
K648251001 PRUNIERS-EN-SOLOGNE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,NA,NA,91,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,268,NA,NA,NA,266,NA,NA
K722261011 BUZANÇAIS - PONT VOIE FERRÉE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,175,121,160,74,111,57,75,NA,56,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,213,250,297,365,293,265,259,NA,291,313,NA,NA
A770101001 CHAMBREY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,137,107,NA,73,147,152,NA,NA,76,109,176,114,122,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,316,356,NA,340,311,281,NA,NA,138,331,337,344,336,356,NA,NA,NA,NA
A802101001 ÉTAIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140,NA,91,214,210,130,190,234,NA,195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,311,NA,181,324,330,271,337,294,NA,244,NA,NA,NA,NA
A820101001 JARNY [LABRY],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,140,201,91,133,179,91,136,94,122,161,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,339,296,300,324,330,318,337,294,217,244,271,NA,NA,NA
A812200001 HANNONVILLE-SUZÉMONT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,67,203,182,149,NA,102,114,NA,122,NA,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,311,281,300,324,NA,207,254,NA,317,NA,271,NA,NA,NA
A994202001 FILSTROFF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,121,NA,91,110,59,98,152,91,79,172,123,108,92,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,NA,NA,335,NA,356,341,340,311,284,308,324,328,331,337,346,351,NA,NA,NA,NA,NA
A840101001 MOYEUVRE-GRANDE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,NA,NA,182,97,179,91,164,156,122,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,340,NA,NA,252,324,366,318,337,294,306,244,NA,NA,NA,NA
A807101001 BONCOURT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,120,140,163,91,133,210,102,190,156,122,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,312,340,339,281,269,231,330,318,337,294,282,365,NA,NA,NA,NA
A832201001 BRIEY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,91,91,NA,179,91,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,306,305,216,NA,339,297,NA,NA,167,NA,NA,NA,NA,NA,NA,NA,NA,NA
A443064001 ÉPINAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,152,91,80,99,91,83,NA,64,60,33,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,226,178,250,204,237,222,NA,281,305,324,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
A673122001 GERBÉVILLER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,167,NA,62,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,335,NA,305,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A543101001 PULLIGNY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50,11,110,NA,NA,132,NA,79,NA,NA,NA,NA,NA,125,123,136,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295,314,278,NA,NA,316,NA,321,NA,NA,NA,NA,NA,314,324,295,307,NA,NA,NA,NA,NA
A843101001 ROSSELANGE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,119,104,97,140,182,91,NA,NA,131,164,156,168,160,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,305,NA,NA,254,283,208,311,281,269,NA,NA,219,262,294,217,208,208,NA,NA,NA
A670121001 ROVILLE-AUX-CHÊNES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,62,NA,NA,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,340,NA,NA,365,NA,NA,NA,NA,NA,NA,NA,NA
A436203001 CHENIMÉNIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,NA,NA,121,91,187,132,156,161,132,164,71,67,107,92,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,222,NA,NA,266,335,339,341,281,224,324,336,305,337,324,357,334,NA,NA,NA,NA
A873201001 KOENIGSMACKER (LA CANNER),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,60,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,282,282,321,NA,NA,NA,NA,NA,NA,NA,NA,NA
A758102001 MOYENVIC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,96,73,147,152,NA,79,106,109,157,86,134,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,349,237,340,311,276,NA,287,181,365,337,276,336,341,NA,NA,NA,NA
A986201001 VARIZE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,110,123,134,182,63,151,189,151,173,149,183,215,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,356,306,340,317,302,324,313,328,276,331,282,281,307,158,NA,NA,NA
A975201001 CONDÉ-NORTHEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215,NA,NA,101,NA,189,206,107,92,134,146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,328,NA,NA,209,NA,279,276,337,323,281,328,NA,NA,NA,NA
A782101001 NOMENY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,170,142,181,136,100,86,134,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,324,315,365,337,294,336,195,NA,NA,NA,NA
A735201001 ONVILLE,106,60,NA,NA,NA,NA,NA,60,60,183,101,79,105,NA,111,156,91,86,NA,NA,148,62,64,104,82,123,140,143,91,149,77,74,NA,86,122,153,NA,NA,NA,NA,242,194,NA,NA,NA,NA,NA,149,259,271,180,346,242,NA,244,288,283,344,NA,NA,351,317,352,331,298,340,362,281,308,324,330,365,NA,346,266,341,NA,NA,NA,NA
A657111001 LUNÉVILLE (VEZOUZE),NA,NA,NA,NA,NA,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A800621001 MORGEMOULIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,92,NA,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,243,NA,254,NA,NA,NA,NA,NA,NA,NA
A983201001 FAULQUEMONT,115,105,NA,NA,110,116,188,110,121,122,121,NA,NA,NA,92,152,121,182,92,NA,NA,91,NA,88,95,64,73,152,91,79,167,95,131,92,134,146,62,NA,NA,NA,234,310,NA,NA,302,275,296,304,298,216,324,NA,NA,NA,335,307,307,315,306,NA,NA,264,NA,356,341,340,311,296,308,324,328,331,309,346,330,348,110,NA,NA,NA
A973121001 ANCERVILLE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,136,135,131,183,NA,88,94,90,73,152,91,79,172,123,108,92,134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,319,325,315,315,315,NA,356,327,340,311,296,308,324,328,331,337,346,330,NA,NA,NA,NA,NA
A523011001 BEGNÉCOURT (HEUCHELOUP),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,91,NA,163,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,314,NA,295,273,NA,NA,NA,NA,NA
A643112002 BLÂMONT [AMONT],NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,NA,NA,NA,NA,NA,NA,NA,NA,NA
A788101002 METZ PONT LOTHAIRE AMONT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,164,153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245,243,NA,NA,NA,NA
A350010001 DRUSENHEIM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,152,122,152,131,NA,NA,NA,161,NA,106,170,121,NA,149,121,121,NA,NA,NA,121,NA,145,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274,305,336,335,319,NA,NA,NA,334,NA,310,288,352,NA,348,317,335,NA,NA,NA,273,NA,306,305
A228003001 CHASSEUR FROID ROBERTSAU_TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,117,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,337,364,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A907105050 DIEDENDORF,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,122,NA,121,121,122,142,91,110,NA,105,NA,105,NA,NA,121,91,106,165,NA,55,NA,60,NA,91,NA,91,NA,133,138,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,334,306,NA,301,305,320,318,335,335,NA,359,NA,335,NA,NA,319,344,352,288,NA,337,NA,345,NA,365,NA,335,NA,335,142,305
A909106050 KESKASTEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,178,NA,135,NA,95,78,70,NA,122,138,152,NA,153,NA,182,121,122,186,NA,7,NA,149,NA,NA,NA,147,145,116,138,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,333,346,NA,335,NA,276,365,274,NA,259,365,305,NA,302,NA,305,335,325,284,NA,334,NA,327,NA,NA,NA,322,335,332,142,305
A926000101 OERMINGEN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166,131,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86,NA,NA,NA,NA,NA,87,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322,300,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,345,NA,NA,NA,NA,NA,306,247,NA
