"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"196",2019-04-18T09:00:00.000Z,,"Mesure par ADCP",0.35000000000000003,0.87,2023-06-05T15:33:00.000Z
"195",2018-12-20T10:00:00.000Z,,"Mesure par ADCP",0.44,1.73,2023-06-05T15:33:00.000Z
"194",2018-11-15T15:15:00.000Z,,"Perche point par point",0.225,0.181,2023-06-05T15:33:00.000Z
"193",2018-10-04T11:15:00.000Z,,"Perche point par point",0.19,0.075,2023-06-05T15:33:00.000Z
"192",2018-08-21T09:35:00.000Z,2018-08-21T09:55:00.000Z,"Perche point par point",0.21,0.14300000000000002,2023-06-05T15:33:01.000Z
"191",2018-04-27T09:00:00.000Z,,"Mesure par ADCP",0.41000000000000003,1.1300000000000001,2023-06-05T15:33:01.000Z
"190",2018-01-23T10:00:00.000Z,,"Mesure par ADCP",0.78,5.09,2023-06-05T15:33:01.000Z
"189",2017-11-07T11:30:00.000Z,2017-11-07T12:00:00.000Z,"Perche point par point",0.21,0.151,2023-06-05T15:33:01.000Z
"188",2017-05-11T11:28:00.000Z,,"Mesure par ADCP",0.38,1.1300000000000001,2023-06-05T15:33:01.000Z
"187",2017-02-28T12:15:00.000Z,,"Perche point par point",0.3,0.561,2023-06-05T15:33:01.000Z
"186",2016-09-27T09:35:00.000Z,,"Perche point par point",0.17,0.048,2023-06-05T15:33:02.000Z
"185",2016-08-11T10:15:00.000Z,,"Perche point par point",0.23,0.19,2023-06-05T15:33:02.000Z
"184",2016-06-20T08:25:00.000Z,,"Perche point par point",0.35000000000000003,0.852,2023-06-05T15:33:02.000Z
"183",2016-05-24T08:45:00.000Z,,"Mesure par ADCP",0.394,1.43,2023-06-05T15:33:02.000Z
"126",2005-07-21T11:10:00.000Z,2005-07-21T11:40:00.000Z,"Autres",0.05,0.115,2023-06-05T15:33:11.000Z
"182",2016-01-22T10:20:00.000Z,,"Perche point par point",0.265,0.326,2023-06-05T15:33:02.000Z
"181",2015-06-16T08:35:00.000Z,,"Perche point par point",0.34500000000000003,0.8,2023-06-05T15:33:02.000Z
