"Numéro","Date de début (TU)","Date de fin (TU)","Mode","Hauteur retenue (m)","Débit mesuré (m³/s)","Date de mise à jour (TU)"
"101",2007-11-15T10:20:00.000Z,2007-11-15T10:35:00.000Z,"Perche par intégration",0.93,1.21,2022-04-05T11:13:54.000Z
"195",2018-07-03T09:10:00.000Z,,"Perche par intégration",0.615,0.11900000000000001,2022-04-05T11:12:52.000Z
"192",2018-03-14T10:07:00.000Z,,"Mesure par ADCP",2.08,8.540000000000001,2022-04-05T11:12:54.000Z
"194",2018-05-29T09:45:00.000Z,,"Perche par intégration",0.75,0.483,2022-04-05T11:12:52.000Z
"207",2019-09-16T09:30:00.000Z,,"Perche par intégration",0.62,0.035,2022-04-05T11:12:44.000Z
"206",2019-08-29T09:25:00.000Z,,"Perche par intégration",0.595,0.047,2022-04-05T11:12:45.000Z
"205",2019-07-09T09:30:00.000Z,2019-07-09T09:40:00.000Z,"Perche par intégration",0.59,0.079,2022-04-05T11:12:45.000Z
"204",2019-06-05T09:10:00.000Z,,"Perche par intégration",0.67,0.212,2022-04-05T11:12:46.000Z
"209",2020-02-18T10:55:00.000Z,,"Mesure par ADCP",2.88,13.700000000000001,2022-04-05T11:12:43.000Z
"208",2019-12-12T09:57:00.000Z,,"Mesure par ADCP",2.04,7.73,2022-04-05T11:12:43.000Z
"203",2019-05-02T09:35:00.000Z,,"Perche par intégration",0.8,0.708,2022-04-05T11:12:47.000Z
"202",2019-03-14T10:42:00.000Z,,"Mesure par ADCP",1.22,3.18,2022-04-05T11:12:47.000Z
"164",2014-10-21T08:55:00.000Z,,"Autres",0.775,0.52,2022-04-05T11:13:13.000Z
"160a",2014-08-19T10:10:00.000Z,2014-08-19T10:20:00.000Z,"Perche point par point",0.68,0.197,2022-04-05T11:13:15.000Z
"160",2014-08-19T10:00:00.000Z,,"Perche par intégration",0.68,0.164,2022-04-05T11:13:16.000Z
"159",2014-07-18T12:00:00.000Z,,"Perche par intégration",0.66,0.14400000000000002,2022-04-05T11:13:16.000Z
"158",2014-06-16T12:10:00.000Z,,"Autres",0.64,0.128,2022-04-05T11:13:17.000Z
"157",2014-04-29T07:55:00.000Z,,"Mesure par ADCP",0.77,0.366,2022-04-05T11:13:18.000Z
"156",2014-03-26T10:35:00.000Z,,"Mesure par ADCP",0.875,1.463,2022-04-05T11:13:18.000Z
"155",2014-01-07T09:50:00.000Z,,"Saumon par intégration",1.43,4.74,2022-04-05T11:13:19.000Z
"177",2016-05-19T08:52:00.000Z,2016-05-19T09:11:00.000Z,"Mesure par ADCP",0.855,1.07,2022-04-05T11:13:04.000Z
"176",2016-03-14T11:15:00.000Z,,"Perche par intégration",0.97,1.67,2022-04-05T11:13:05.000Z
"175",2015-11-04T09:40:00.000Z,,"Perche par intégration",0.6900000000000001,0.117,2022-04-05T11:13:05.000Z
"174",2015-10-01T10:10:00.000Z,,"Perche par intégration",0.65,0.10400000000000001,2022-04-05T11:13:06.000Z
"173",2015-09-14T06:15:00.000Z,,"Perche par intégration",0.77,0.147,2022-04-05T11:13:07.000Z
"172",2015-08-11T06:10:00.000Z,,"Perche par intégration",0.74,0.294,2022-04-05T11:13:08.000Z
"171",2015-07-16T09:25:00.000Z,,"Perche par intégration",0.64,0.11,2022-04-05T11:13:08.000Z
"170",2015-06-02T09:22:00.000Z,,"Perche par intégration",0.77,0.462,2022-04-05T11:13:09.000Z
"169",2015-04-29T09:05:00.000Z,,"Perche par intégration",0.87,1.05,2022-04-05T11:13:10.000Z
"168",2015-04-08T09:45:00.000Z,,"Perche par intégration",0.9450000000000001,1.41,2022-04-05T11:13:10.000Z
"167",2015-02-24T10:50:00.000Z,,"Mesure par ADCP",2.73,13.3,2022-04-05T11:13:11.000Z
"166",2014-11-05T08:25:00.000Z,2014-11-05T09:10:00.000Z,"Mesure par ADCP",3.84,47.1,2022-04-05T11:13:12.000Z
"165",2014-11-04T11:58:00.000Z,2014-11-04T12:29:00.000Z,"Autres",3.31,17.2,2022-04-05T11:13:12.000Z
"116",2009-11-04T11:20:00.000Z,,"Perche par intégration",0.93,0.899,2022-04-05T11:13:44.000Z
"115",2009-11-04T10:35:00.000Z,2009-11-04T10:55:00.000Z,"Perche par intégration",0.93,0.857,2022-04-05T11:13:45.000Z
"114",2009-10-13T10:40:00.000Z,,"Perche par intégration",0.81,0.14300000000000002,2022-04-05T11:13:46.000Z
"113",2009-09-24T13:45:00.000Z,2009-09-24T14:00:00.000Z,"Perche par intégration",0.71,0.095,2022-04-05T11:13:46.000Z
"112",2009-07-22T09:35:00.000Z,2009-07-22T09:50:00.000Z,"Perche par intégration",0.75,0.29,2022-04-05T11:13:47.000Z
"111",2009-07-01T08:00:00.000Z,,"Perche par intégration",0.7000000000000001,0.16,2022-04-05T11:13:48.000Z
"110",2009-02-03T09:45:00.000Z,,"Perche par intégration",0.9,1.05,2022-04-05T11:13:48.000Z
"109",2009-02-03T09:35:00.000Z,,"Perche par intégration",0.9,1.05,2022-04-05T11:13:49.000Z
"104",2008-05-27T09:33:00.000Z,2008-05-27T09:44:00.000Z,"Perche par intégration",0.87,0.866,2022-04-05T11:13:52.000Z
"128",2010-10-13T09:30:00.000Z,,"Perche par intégration",0.67,0.136,2022-04-05T11:13:36.000Z
"127",2010-09-01T10:40:00.000Z,,"Perche par intégration",0.67,0.186,2022-04-05T11:13:37.000Z
"126",2010-09-01T10:20:00.000Z,,"Perche par intégration",0.67,0.189,2022-04-05T11:13:38.000Z
"125",2010-09-01T09:55:00.000Z,,"Perche par intégration",0.67,0.196,2022-04-05T11:13:38.000Z
"124",2010-09-01T09:25:00.000Z,,"Perche par intégration",0.67,0.169,2022-04-05T11:13:39.000Z
"123",2010-08-23T12:40:00.000Z,,"Perche par intégration",0.65,0.158,2022-04-05T11:13:40.000Z
"122",2010-08-10T10:32:00.000Z,,"Perche par intégration",0.63,0.085,2022-04-05T11:13:40.000Z
"121",2010-07-23T08:30:00.000Z,,"Perche par intégration",0.68,0.189,2022-04-05T11:13:41.000Z
"120",2010-05-19T09:45:00.000Z,,"Perche par intégration",0.71,0.278,2022-04-05T11:13:42.000Z
"119",2010-05-19T09:20:00.000Z,,"Perche par intégration",0.71,0.294,2022-04-05T11:13:42.000Z
"118",2010-04-07T09:05:00.000Z,,"Perche par intégration",0.96,1.59,2022-04-05T11:13:43.000Z
"117",2009-12-07T10:00:00.000Z,,"Perche par intégration",0.9,1.17,2022-04-05T11:13:44.000Z
"108",2008-09-10T09:30:00.000Z,,"Perche par intégration",0.73,0.187,2022-04-05T11:13:49.000Z
