"","minima_day_1986","minima_day_1987","minima_day_1988","minima_day_1989","minima_day_1990","minima_day_1991","minima_day_1992","minima_day_1993","minima_day_1994","minima_day_1995","minima_day_1996","minima_day_1997","minima_day_1998","minima_day_1999","minima_day_2000","minima_day_2001","minima_day_2002","minima_day_2003","minima_day_2004","minima_day_2005","minima_day_2006","minima_day_2007","minima_day_2008","minima_day_2009","minima_day_2010","minima_day_2011","minima_day_2012","minima_day_2013","minima_day_2014","minima_day_2015","minima_day_2016","minima_day_2017","minima_day_2018","minima_day_2019","minima_day_2020","minima_day_2021","minima_day_2022","minima_day_2023","minima_day_2024","minima_day_2025","cluster_col_data"
"A670121001 ROVILLE-AUX-CHÊNES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184,280,NA,NA,185,NA,NA,NA,NA,NA,NA,NA,NA,3
"A436203001 CHENIMÉNIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,179,NA,NA,184,201,327,183,164,183,168,202,172,171,163,176,229,NA,NA,NA,NA,1
"A873201001 KOENIGSMACKER (LA CANNER)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246,246,239,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"A758102001 MOYENVIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,162,179,273,159,203,NA,187,157,166,282,177,188,175,NA,NA,NA,NA,3
"A986201001 VARIZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,202,208,250,235,243,267,252,307,235,200,218,252,245,131,NA,NA,NA,2
"A975201001 CONDÉ-NORTHEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249,NA,NA,176,NA,231,235,221,249,211,307,NA,NA,NA,NA,3
"A782101001 NOMENY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,262,245,193,157,177,162,175,NA,NA,NA,NA,1
"A735201001 ONVILLE",125,101,NA,NA,NA,NA,NA,126,129,243,120,156,148,NA,139,236,158,164,NA,NA,341,207,177,217,154,158,339,164,115,260,181,136,NA,177,188,175,NA,NA,NA,NA,3
"A657111001 LUNÉVILLE (VEZOUZE)",NA,NA,NA,NA,NA,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"A800621001 MORGEMOULIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,266,210,NA,190,NA,NA,NA,NA,NA,NA,NA,3
