A052055001
A143069001
A788101001
L574191001
W341000301
U235401001
B109201001
Y320002001
R202001001
H303000201
K194301001
G206021010
U344641001
A623201001
G223041010
B611101001
G410000301
H323041010
V430000101
Y161202001
U012401001
F483000101
K228311001
L522302001
B301001001
K127311001
V612501001
K062451002
K649251001
H311301001
L005063001
V547401001
H433043010
A812200001
L567000301
B022001001
A670121001
A800621001
A433301001
F456042001
U123502001
H506061010
V145431002
R202001002
H317061010
A254020001
E645651701
I535201001
G310061201
A686000101
B134001001
Y114115001
Y158402001
U020400101
R230000301
K051301001
E237601001
K117321001
M032151101
K040301001
L513401001
K206401002
L111301001
N430062201
Y134501001
L822211001
K222303001
G700021010
L240404001
H623021010
A041030101
I702102001
F230000101
I353101001
A758102001
L810211001
M360091010
N400061601
U343434001
K322201001
Y062522001
H244234001
K176401002
A235020001
Y131401001
Y141501002
U263401001
K125181001
H716201001
I110301001
M811261020
K533311001
B105201001
Y043642001
G017042010
K435001020
K714301001
U203503002
P425401001
K191451001
H513062011
U142001001
K230081001
Y046921001
L144061001
L620201002
V615502001
H234202002
A526102003
K201082001
U141503001
K570232001
N601401401
L700061001
K134181001
N340301010
H705343001
L403301001
H781321001
M055603010
A643112002
H404021101
U092402001
R113041001
N322201010
U121504001
I205103002
K074401001
K035631001
L225301001
A643112001
M132401010
U303501001
U342401001
B315002001
K268081001
Q110501001
K010002010
Y122501001
L562301001
U250201001
K193001010
L471071001
H010002001
J161401001
A764201001
H246371001
Y046881001
K534321001
Y000401001
O839431001
K743303001
M103402010
U141551001
J480301001
K419000201
U264000101
K549090001
L510181001
P634251001
K622091003
H020302002
L812212004
H784301001
K562301001
H208311001
A873201001
A983201001
U303581001
K543302101
U235053001
H751301001
K538302001
G111041010
B453000101
H781301001
Y134501201
E156601001
H741321001
L574192002
H206202001
Y200002701
A770101001
P714401001
U101402001
H418041101
K518302001
N711401010
A100003101
H041301001
K741401001
E638607001
K156302001
K045402001
Y135521001
H005000101
R413001101
K401301001
F658000101
K365081001
M512431010
U343432001
K153301001
U130561001
U212201001
L210301001
K353301001
V501404001
A417301001
R021001001
K183301001
Y110501001
H406840001
H612901501
Y160505001
H233202001
U234503001
M042151010
A122201001
K315301001
M013401010
O184741001
S011451001
A225020001
K225401001
K045401001
K001872301
E640603501
R406000101
R502331002
L573301001
R413001201
S011401001
U141502001
B440201001
K407311001
V501401001
A673122001
K345081001
R321402601
K543302001
E334601001
L834301001
B557201001
H605641201
U121503001
K091001010
E351122001
L621000301
U062053002
A436203001
H206201001
H504062010
L465301001
U092401001
M383401010
H421041010
B402101001
K522090003
E364621001
F450000301
K743303201
U203502002
V417402101
K441409001
H423041010
U051501001
K554301001
I923301001
H504063010
L441171001
U232421001
L140061001
R116002001
V211401001
J272301001
L009302001
K637302001
A782101001
Q061253001
H504061010
A293020001
K021401001
V603501001
K027401002
L062061001
K565301001
K404401001
L422071001
U052501001
I346201001
R233505001
U124402001
H320331001
M067401010
A034030201
R011002001
A807101001
K040302002
A237047001
K202000101
K602242001
U240201001
L232161001
L250161001
K259301401
K004551001
U108401001
K412301001
Y082401001
R611000801
K287191001
U203502003
K637302002
A864030001
N420001001
A687201001
A975201001
L460000201
E334602201
R211002001
A210020001
M024301020
I925301001
G400022010
B466010101
L532301001
H312042201
K720261001
L712301001
K487312002
R211003001
U322501001
K442701001
K659302002
K025801001
A662121201
K632251101
K437311001
L821301001
R011001001
L511401101
K549090201
H214203002
L814211001
M024301010
K108402001
M123304010
L840211002
L540181001
K118001010
V712401001
E642601001
U263501001
H733041010
K438311001
E649831501
K652000201
L231301001
A526102001
K540092001
A368021001
N710181010
K025302002
U141541001
H251341001
R302000401
A455000201
K645301001
K479301001
A543101001
K106301002
E182702001
K659302001
B463101001
L852301001
K172421001
G600061010
V220601001
H002001001
L242401002
K555458001
H311041011
U141504001
H513061010
E639703002
L812211004
K092401001
L702000101
V504661001
H612041010
H605641101
U242526002
R222001003
H751361001
H240201001
H202101001
Y020401001
K671091001
K492000101
N011303010
K531301001
L233401001
K139181001
M331301010
L500181001
E172601002
A986201001
K542401001
H248201001
K523401001
H626061010
H730202001
U133402001
K011402001
H502301401
V710521001
U121502001
L023151001
L040061001
H318041010
L541182301
U202202001
K415001301
K320601002
H426021010
H136201001
E640601001
L056301001
H332201001
H413041010
K731261001
V131504003
U340403001
Y152401001
K299401001
Y066404001
U045501001
M025061010
M112481001
H720101001
H605022010
K571231001
E403653301
M115161010
A657111001
L220161002
Y250003001
A832201001
L092061002
U041501001
A053074001
E403572001
U072401001
K124301001
K069001001
K055001010
F467000103
U312701001
H513062012
L621000201
K138301001
V716401501
H631321001
K409401001
G710061010
K480001001
U344502001
Y120501001
F655000102
R125001001
M334091010
H742371003
B122201001
K658000101
U201202001
K702262001
L600071001
R210001003
K243081001
U341502001
U242526001
H217232001
G223041101
F448000601
Y063403002
H611301001
K054301201
K056752001
O834402001
N412001001
L541181001
K340081001
L234161002
P080401001
U141601001
N410403001
L470071001
L303301001
A634101001
U100401001
H420021011
K509090001
A147003001
K064311001
K485301001
M135401010
K457221001
K207081010
N712181201
A793061001
H706101001
M107302001
U131402001
M522201010
L454072001
B204201001
H420021012
M321301010
K171301001
U230524001
B400101001
K751401001
M601301010
E236831001
L231301401
L530181001
R222001001
H506062010
K136301001
M633302010
U063501001
L244301001
U261583001
A681201001
H303000401
H246202001
L091402001
L860211002
E237721001
L131000101
N510171001
U464551101
A820101001
K091001011
U234583001
U303401001
H200102001
A843101001
H433042010
M043401010
I210201001
F429000102
H611061010
U261641001
K013401001
H418041010
Y144501001
K254401001
U344503001
K297031001
A276075201
L551191001
J522401002
L602071001
K606301001
M056622010
B128201001
U132903001
K522090002
U430541001
K753000302
U004500401
V441401001
Y062402001
K513301001
K195401001
K285191001
K283401001
U141641001
K610243001
H760201001
K175311001
K330201001
U254201001
U122401001
V523401001
L421071001
K683002001
L503401001
U102501001
K163301001
U210201001
H310042010
A788101002
K752262011
N311301010
Y028406001
K742000201
K033301001
H704102501
R502331001
H774201001
B213001001
K484000102
I692301001
U111502001
U233060001
L401071001
K640250010
H602021010
U124404001
K113000201
B517201001
U081501001
H773301001
U234502001
L312301001
M382301010
U047401001
U251201001
L031401001
