noct,cdatedeb,cdatefin
575684,"01/01/19 00:00:00","11/23/19 16:25:00"
577031,"01/01/19 00:00:00","01/01/30 00:00:00"
577033,"01/01/19 00:00:00","11/23/19 16:25:00"
578416,"01/01/19 00:00:00","01/01/30 00:00:00"
578418,"01/01/19 00:00:00","11/23/19 16:25:00"
581333,"01/01/19 00:00:00","01/01/30 00:00:00"
581335,"01/01/19 00:00:00","11/23/19 16:25:00"
582803,"01/01/19 00:00:00","01/01/30 00:00:00"
582805,"01/01/19 00:00:00","11/23/19 16:25:00"
587167,"01/01/19 00:00:00","01/01/30 00:00:00"
587169,"01/01/19 00:00:00","11/23/19 16:25:00"
590067,"01/01/19 00:00:00","01/01/30 00:00:00"
590069,"01/01/19 00:00:00","11/23/19 16:25:00"
591493,"01/01/19 00:00:00","01/01/30 00:00:00"
591495,"01/01/19 00:00:00","11/23/19 16:25:00"
596251,"01/01/19 00:00:00","01/01/30 00:00:00"
596253,"01/01/19 00:00:00","11/23/19 16:25:00"
599252,"01/01/19 00:00:00","01/01/30 00:00:00"
599254,"01/01/19 00:00:00","11/23/19 16:25:00"
679148,"01/01/19 00:00:00","01/01/30 00:00:00"
679150,"01/01/19 00:00:00","11/23/19 16:25:00"
786446,"01/01/19 00:00:00","01/01/30 00:00:00"
853699,"01/01/19 00:00:00","01/01/30 00:00:00"
853701,"01/01/19 00:00:00","11/23/19 16:25:00"
602541,"01/01/19 00:00:00","01/01/30 00:00:00"
602543,"01/01/19 00:00:00","11/23/19 16:25:00"
605813,"01/01/19 00:00:00","01/01/30 00:00:00"
605815,"01/01/19 00:00:00","11/23/19 16:25:00"
609067,"01/01/19 00:00:00","01/01/30 00:00:00"
609069,"01/01/19 00:00:00","11/23/19 16:25:00"
614169,"01/01/19 00:00:00","01/01/30 00:00:00"
614171,"01/01/19 00:00:00","11/23/19 16:25:00"
617434,"01/01/19 00:00:00","01/01/30 00:00:00"
617436,"01/01/19 00:00:00","11/23/19 16:25:00"
620711,"01/01/19 00:00:00","01/01/30 00:00:00"
620713,"01/01/19 00:00:00","11/23/19 16:25:00"
623995,"01/01/19 00:00:00","01/01/30 00:00:00"
623997,"01/01/19 00:00:00","11/23/19 16:25:00"
628920,"01/01/19 00:00:00","01/01/30 00:00:00"
628922,"01/01/19 00:00:00","11/23/19 16:25:00"
633832,"01/01/19 00:00:00","01/01/30 00:00:00"
633834,"01/01/19 00:00:00","11/23/19 16:25:00"
644731,"01/01/19 00:00:00","01/01/30 00:00:00"
644733,"01/01/19 00:00:00","11/23/19 16:25:00"
646143,"01/01/19 00:00:00","01/01/30 00:00:00"
646145,"01/01/19 00:00:00","11/23/19 16:25:00"
649454,"01/01/19 00:00:00","01/01/30 00:00:00"
649456,"01/01/19 00:00:00","11/23/19 16:25:00"
650874,"01/01/19 00:00:00","01/01/30 00:00:00"
650876,"01/01/19 00:00:00","11/23/19 16:25:00"
654157,"01/01/19 00:00:00","01/01/30 00:00:00"
654159,"01/01/19 00:00:00","11/23/19 16:25:00"
657467,"01/01/19 00:00:00","01/01/30 00:00:00"
657469,"01/01/19 00:00:00","11/23/19 16:25:00"
660845,"01/01/19 00:00:00","01/01/30 00:00:00"
660847,"01/01/19 00:00:00","11/23/19 16:25:00"
662257,"01/01/19 00:00:00","01/01/30 00:00:00"
662259,"01/01/19 00:00:00","11/23/19 16:25:00"
667427,"01/01/19 00:00:00","01/01/30 00:00:00"
667429,"01/01/19 00:00:00","11/23/19 16:25:00"
670709,"01/01/19 00:00:00","01/01/30 00:00:00"
670711,"01/01/19 00:00:00","11/23/19 16:25:00"
675865,"01/01/19 00:00:00","01/01/30 00:00:00"
675867,"01/01/19 00:00:00","11/23/19 16:25:00"
680573,"01/01/19 00:00:00","01/01/30 00:00:00"
680575,"01/01/19 00:00:00","11/23/19 16:25:00"
684243,"01/01/19 00:00:00","01/01/30 00:00:00"
684245,"01/01/19 00:00:00","11/23/19 16:25:00"
685655,"01/01/19 00:00:00","01/01/30 00:00:00"
685657,"01/01/19 00:00:00","11/23/19 16:25:00"
688938,"01/01/19 00:00:00","01/01/30 00:00:00"
688940,"01/01/19 00:00:00","11/23/19 16:25:00"
694096,"01/01/19 00:00:00","01/01/30 00:00:00"
694098,"01/01/19 00:00:00","11/23/19 16:25:00"
697379,"01/01/19 00:00:00","01/01/30 00:00:00"
697381,"01/01/19 00:00:00","11/23/19 16:25:00"
700665,"01/01/19 00:00:00","01/01/30 00:00:00"
700667,"01/01/19 00:00:00","11/23/19 16:25:00"
705534,"01/01/19 00:00:00","01/01/30 00:00:00"
705536,"01/01/19 00:00:00","11/23/19 16:25:00"
708825,"01/01/19 00:00:00","01/01/30 00:00:00"
708827,"01/01/19 00:00:00","11/23/19 16:25:00"
710240,"01/01/19 00:00:00","01/01/30 00:00:00"
710242,"01/01/19 00:00:00","11/23/19 16:25:00"
715408,"01/01/19 00:00:00","01/01/30 00:00:00"
715410,"01/01/19 00:00:00","11/23/19 16:25:00"
716955,"01/01/19 00:00:00","01/01/30 00:00:00"
716957,"01/01/19 00:00:00","11/23/19 16:25:00"
722118,"01/01/19 00:00:00","01/01/30 00:00:00"
722120,"01/01/19 00:00:00","11/23/19 16:25:00"
725415,"01/01/19 00:00:00","01/01/30 00:00:00"
725417,"01/01/19 00:00:00","11/23/19 16:25:00"
728706,"01/01/19 00:00:00","01/01/30 00:00:00"
728708,"01/01/19 00:00:00","11/23/19 16:25:00"
732024,"01/01/19 00:00:00","01/01/30 00:00:00"
732026,"01/01/19 00:00:00","11/23/19 16:25:00"
733477,"01/01/19 00:00:00","01/01/30 00:00:00"
733479,"01/01/19 00:00:00","11/23/19 16:25:00"
738679,"01/01/19 00:00:00","01/01/30 00:00:00"
738681,"01/01/19 00:00:00","11/23/19 16:25:00"
740138,"01/01/19 00:00:00","01/01/30 00:00:00"
740140,"01/01/19 00:00:00","11/23/19 16:25:00"
745405,"01/01/19 00:00:00","01/01/30 00:00:00"
745407,"01/01/19 00:00:00","11/23/19 16:25:00"
746821,"01/01/19 00:00:00","01/01/30 00:00:00"
746823,"01/01/19 00:00:00","11/23/19 16:25:00"
752042,"01/01/19 00:00:00","01/01/30 00:00:00"
752044,"01/01/19 00:00:00","11/23/19 16:25:00"
753464,"01/01/19 00:00:00","01/01/30 00:00:00"
753466,"01/01/19 00:00:00","11/23/19 16:25:00"
758678,"01/01/19 00:00:00","01/01/30 00:00:00"
758680,"01/01/19 00:00:00","11/23/19 16:25:00"
760308,"01/01/19 00:00:00","01/01/30 00:00:00"
760310,"01/01/19 00:00:00","11/23/19 16:25:00"
765532,"01/01/19 00:00:00","01/01/30 00:00:00"
765534,"01/01/19 00:00:00","11/23/19 16:25:00"
766929,"01/01/19 00:00:00","01/01/30 00:00:00"
766931,"01/01/19 00:00:00","11/23/19 16:25:00"
772921,"01/01/19 00:00:00","01/01/30 00:00:00"
772923,"01/01/19 00:00:00","11/23/19 16:25:00"
776425,"01/01/19 00:00:00","01/01/30 00:00:00"
776427,"01/01/19 00:00:00","11/23/19 16:25:00"
777810,"01/01/19 00:00:00","01/01/30 00:00:00"
777812,"01/01/19 00:00:00","11/23/19 16:25:00"
781193,"01/01/19 00:00:00","01/01/30 00:00:00"
781195,"01/01/19 00:00:00","11/23/19 16:25:00"
786448,"01/01/19 00:00:00","11/23/19 16:25:00"
791675,"01/01/19 00:00:00","01/01/30 00:00:00"
791677,"01/01/19 00:00:00","11/23/19 16:25:00"
