numero,nosta,datedeb,datefin,nature,detail,comment,datemaj,dateenregistrement,datecreation
229320,318,"06/15/01 00:00:00","06/26/01 00:00:00","4","43","Déclaration dans hydro des QJ manquants inconnu faible <5 m3/s ; QIX <10 m3/s et QMM >0.5 m3/s.",,,
229321,318,"07/28/18 10:00:00",,"2","26","Déclaration d'un Corth provisoire suite à la constitution d'un barrage artificiel  de cailloux en aval station environ 20m. (photos sur terrain réalisées).",,"08/10/18 09:26:00","08/10/18 09:26:00"
229322,318,"11/27/18 10:50:00",,"5","50","Nettoyage branches dans lit rivièr e en amont immédiat pont station.
Enlèvement barrages de cailloux estivales et feuilles 30m en aval station.
Fin de la courbe de correction des hauteurs.",,"11/28/18 17:42:00","11/28/18 17:42:00"
229323,318,"04/02/19 09:20:00",,"5","50","TRAVAUX DE NETTOYAGE DES BERGES ENTRE LA STATION ET LE SEUIL AVAL",,"04/04/19 10:24:00","04/04/19 10:24:00"
229324,318,"09/17/20 00:00:00",,"5","50","Mise en place d'un Corth pour prise en compte influence des feuilles en automne au niveau du contrôle aval ",,"11/06/20 10:06:00","11/06/20 10:06:00"
229325,318,"12/29/21 18:00:00",,"2","21","Détarage suite crue du 29-12-2021 de frequence de retour eniron 5ans.",,"06/24/22 11:55:00","06/24/22 11:55:00"
229326,318,"08/15/21 00:00:00",,"2","26","Déplacements de caillous dans le lit mineur entre15 aout et 20 septembre pendant la période vacances estivale.",,"06/24/22 11:58:00","06/24/22 11:58:00"
229327,318,"08/01/22 00:00:00",,"5","50","Premier assec est intervenu entre le 01 et le 05-08-2022 interrompu entre le 05 et le 08 aout (pluie sur le BV le 05-08-22) puis nouvel assec a compter du 08-08-22. Passage terrain pour constatation assec le 01-08-2022  Maintenance puis le 09-08-2022 Jaugeurs.
sur passage 09-08--22 on a un filet d'eau 20m amont (1-2 l/s) puis infiltration avant pont station et resurgence filet d'eau ecoulement au delà du seuil maconné situé 400m en aval station (écoult intermittent  d'infiltration par tronçon)",,"08/11/22 11:47:00","08/11/22 11:38:00"
229328,318,"08/08/22 00:00:00","08/14/22 00:00:00","5","50","Période assec sans écoulement superficiel de la rivière constaté le 09-08-2022 lors d'une visite terrain. ",,"02/24/23 09:08:00","09/05/22 17:06:00"
229329,318,"09/12/23 00:00:00","09/13/23 00:00:00","5","50","Assec temporaire de l'ecoulement superficiel de l'Anzon- suite à canicule aout 2023 et en l'absence de précipitations depuis une longue période.
Débit Zero estimé au voisinage de -12cm sur le tarage en vigueur",,"09/29/23 11:32:00","09/29/23 11:29:00"
229330,319,"11/15/00 00:00:00",,"5","50","Transfert de la station de la DIREN de Bassin Loire-Bretagne à SEMA Lyon Département",,,
229331,319,"12/21/00 14:00:00",,"3","30","Installation d'un codeur-enregistreur OTT Thalimèdes avec flotteur.",,,
229332,319,"07/30/98 13:00:00","08/03/98 16:00:00","4","42","Référence ?.Hauteurs douteuse dans Hydro.",,,
229333,319,"10/15/02 10:19:00","11/12/02 12:59:00","1","17","Hauteurs incertaines suite à la colonne bouchée.",,,
