noct,nopt,a,b,h0,hsup
9973,3,1.88e-08,2.7676,-42,999
9974,1,0,0,0,0
9974,2,8.938e-08,2.5508,-1,800
9975,1,0,0,0,64
9975,2,0.0002779,1.4669,63,1000
9976,1,0,0,0,64
9976,2,0.0002285,1.4949,64,800
9977,1,0,0,0,200
9977,2,1.491e-06,2.0491,35,1772
9978,1,0,0,0,200
9978,2,8.806e-09,2.6973,-200,1686
9979,1,0,0,0,278
9979,2,0.01276,1.107,274,700
9980,1,0,0,0,284
9980,2,0.02226,1.0192,284,700
9981,1,0,0,0,0
9981,2,1.277e-07,2.5678,-171,700
9982,1,0,0,0,251
9982,2,0.001838,1.256,250,272
9982,3,0.0011,1.3614,247,326
9982,4,3.957e-13,5,72,353
9982,5,5.113e-13,5,86,395
9982,6,0.2398,0.5175999999999999,363,522
9982,7,0.2305,0.5004999999999999,317,775
9982,8,2.115e-18,4.9825,-4086,1150
9982,9,7.959e-10,2.9039,-1533,1689
9983,1,0,0,0,239
9983,2,4.258e-07,2.5399,239,249
9983,3,8.777e-07,2.4161,248,827
9983,4,8.43e-16,4.9825,-584,937
9983,5,1.846e-05,1.952,269,1203
9984,1,0,0,0,402
9984,2,0.001861,1.1505,388,422
9984,3,0.0008979,1.295,381,610
9985,1,0,0,0,29
9985,2,0.001212,1.0098,28,1166
9986,1,0,0,0,200
9986,2,7.143999999999999e-05,1.8185,188,794
9987,1,0,0,0,349
9987,2,0.0024,0.9488,349,447
9987,3,0.0001102,1.6646,360,624
9987,4,0.005094,1.0401,436,2000
9988,1,0,0,0,464
9988,2,0.005495,1.2097,407,3013
7646,2,0.0006594,1.256,113,253
7646,3,0.001102,1.1857,131,274
7646,4,3.629e-12,4.0948,-223,300
7646,5,3.989e-08,2.7979,-41,418
7646,6,0.01508,0.8647,272,480
7646,7,0.005436,1.045,261,550
7649,1,0,0,0,100
7649,2,4.765e-05,1.6778,73,390
7649,3,9.418999999999999e-12,3.8222,-321,556
7649,4,0.002966,1.1262,278,623
7649,5,0.0001513,1.5328,113,1002
7650,1,0,0,0,100
7650,2,4.765e-05,1.6778,73,390
7650,3,4.068e-09,3.0138,-163,557
7650,4,0.03282,0.7638,387,624
7650,5,0.0001827,1.5086,125,1002
7651,1,0,0,0,99
7651,2,1.007e-10,3.4664,-272,480
7651,3,4.273e-09,2.9478,-196,588
7651,4,5.089e-06,1.9797,18,697
7652,1,0,0,0,101
7652,2,3.891e-15,5,-304,167
7652,3,9.092999999999999e-06,1.8954,39,480
7652,4,6.373e-06,1.9619,50,588
7652,5,5.089e-06,1.9797,18,697
7653,1,0,0,0,101
7653,2,7.211e-09,2.9445,-98,401
7653,3,5.129e-06,2.0034,54,700
8021,1,0,0,0,19
8021,2,1.002e-07,2.7181,19,286
8021,3,0.0003811,1.4717,174,377
8021,4,0.004,1.1097,239,489
7594,1,0,0,0,109
7594,2,0.0001535,1.6074,108,499
7596,1,0,0,0,149
7596,2,5.585e-07,2.205,148,997
7597,1,0,0,0,200
7597,2,6.978e-07,2.2051,199,383
7597,3,3.628e-05,1.6118,275,436
9483,1,0,0,0,109
9483,2,0.0005581,1.3075,109,143
9483,3,0.0001747,1.5482,101,185
9483,4,0.0001535,1.6074,108,499
9868,1,0,0,0,100
9868,2,4.765e-05,1.6778,73,390
9868,3,9.418999999999999e-12,3.8222,-321,556
9868,4,0.002966,1.1262,278,623
9868,5,0.0001513,1.5328,113,1002
9869,1,0,0,0,100
9869,2,4.765e-05,1.6778,73,390
9869,3,4.068e-09,3.0138,-163,557
9869,4,0.03282,0.7638,387,624
7597,4,0.0004361,1.194,317,520
7597,5,0.002568,0.9044,364,597
7597,6,2.365e-11,3.5214,-180,650
7598,1,0,0,0,144
7598,2,6.293e-07,2.416,143,306
7598,3,2.079e-07,2.7934,184,418
7598,4,0.003802,1.1152,289,523
7598,5,0.000629,1.3515,181,701
7599,1,0,0,0,146
