noct,ladate
529,"01/08/82 00:00:00"
529,"01/07/94 00:00:00"
529,"01/03/94 00:00:00"
529,"03/22/74 00:00:00"
529,"01/24/95 00:00:00"
529,"05/03/01 11:45:00"
529,"02/25/70 00:00:00"
529,"02/11/88 00:00:00"
529,"02/10/77 00:00:00"
530,"01/08/82 00:00:00"
530,"01/07/94 00:00:00"
530,"01/03/94 00:00:00"
530,"03/22/74 00:00:00"
530,"01/24/95 00:00:00"
530,"05/03/01 11:45:00"
530,"01/26/78 00:00:00"
530,"02/25/70 00:00:00"
530,"02/11/88 00:00:00"
530,"02/10/77 00:00:00"
531,"01/08/82 00:00:00"
531,"01/07/94 00:00:00"
531,"01/03/94 00:00:00"
531,"03/22/74 00:00:00"
531,"01/24/95 00:00:00"
531,"05/03/01 11:45:00"
531,"01/26/78 00:00:00"
531,"02/25/70 00:00:00"
531,"02/11/88 00:00:00"
531,"02/10/77 00:00:00"
532,"01/07/94 00:00:00"
532,"01/03/94 00:00:00"
532,"03/22/74 00:00:00"
5127,"05/27/03 14:15:00"
5127,"02/06/03 12:30:00"
5127,"12/05/00 11:20:00"
5127,"01/05/01 11:30:00"
5127,"05/14/01 16:00:00"
5127,"02/25/00 14:00:00"
5127,"05/30/00 14:15:00"
5127,"11/20/02 11:30:00"
5127,"04/15/02 15:45:00"
532,"01/24/95 00:00:00"
532,"05/03/01 11:45:00"
532,"01/26/78 00:00:00"
532,"02/25/70 00:00:00"
532,"02/11/88 00:00:00"
532,"02/10/77 00:00:00"
538,"01/08/82 00:00:00"
538,"01/07/94 00:00:00"
538,"01/03/94 00:00:00"
538,"01/24/95 00:00:00"
538,"05/03/01 11:45:00"
538,"03/10/99 00:00:00"
549,"01/08/82 00:00:00"
549,"01/07/94 00:00:00"
549,"01/03/94 00:00:00"
549,"03/22/74 00:00:00"
549,"01/24/95 00:00:00"
549,"05/03/01 11:45:00"
549,"01/26/78 00:00:00"
549,"02/25/70 00:00:00"
549,"02/11/88 00:00:00"
549,"02/10/77 00:00:00"
550,"01/07/94 00:00:00"
550,"01/03/94 00:00:00"
550,"03/22/74 00:00:00"
550,"01/24/95 00:00:00"
550,"05/03/01 11:45:00"
550,"01/26/78 00:00:00"
550,"02/25/70 00:00:00"
550,"02/11/88 00:00:00"
550,"02/10/77 00:00:00"
550,"01/08/82 00:00:00"
552,"08/07/63 00:00:00"
555,"08/07/63 00:00:00"
562,"01/08/82 00:00:00"
562,"01/07/94 00:00:00"
562,"01/03/94 00:00:00"
562,"01/24/95 00:00:00"
562,"05/03/01 11:45:00"
562,"03/10/99 00:00:00"
564,"01/08/82 00:00:00"
564,"01/07/94 00:00:00"
564,"01/03/94 00:00:00"
564,"01/24/95 00:00:00"
564,"05/03/01 11:45:00"
564,"03/10/99 00:00:00"
2022,"01/07/94 00:00:00"
2022,"01/24/95 00:00:00"
2022,"01/20/98 00:00:00"
2022,"02/11/88 00:00:00"
2022,"01/02/94 00:00:00"
2022,"01/27/88 00:00:00"
2047,"01/07/94 00:00:00"
2047,"01/24/95 00:00:00"
2047,"01/20/98 00:00:00"
2047,"02/11/88 00:00:00"
2047,"01/02/94 00:00:00"
2047,"01/27/88 00:00:00"
2056,"01/07/94 00:00:00"
2056,"01/24/95 00:00:00"
2056,"01/20/98 00:00:00"
2056,"02/11/88 00:00:00"
2056,"01/02/94 00:00:00"
2056,"01/27/88 00:00:00"
2056,"02/25/70 00:00:00"
2056,"03/09/95 00:00:00"
2056,"02/08/74 00:00:00"
2070,"01/07/94 00:00:00"
2070,"01/24/95 00:00:00"
2070,"01/20/98 00:00:00"
2070,"02/11/88 00:00:00"
2070,"01/02/94 00:00:00"
2070,"01/27/88 00:00:00"
2071,"02/11/88 00:00:00"
7400,"02/01/21 15:40:00"
8000,"02/03/21 12:40:00"
8000,"01/10/18 13:15:00"
8000,"01/21/18 09:25:00"
7890,"01/07/94 00:00:00"
7890,"01/24/95 00:00:00"
7890,"01/20/98 00:00:00"
