nosta,qmin,qmax,priorite
68,26.799999,44.200001,1
70,789,1520,2
70,500,751,1
106,789,2490,2
106,502,781,1
72,78.099998,142,2
72,45.099998,75,1
81,1000,2030,2
81,755,997,1
128,5.8600001,51.099998,2
175,3.1300001,4.5100002,1
175,5.96,8.1700001,1
175,8.1700001,40.200001,2
149,36,89.900002,1
149,89.900002,167,2
1,60.099998,102,2
1,20.1,59.299999,1
102,79.199997,245,2
122,108,223,1
122,223,582,2
18,20.5,25.1,1
18,60,133,2
18,31.1,60,1
51,380,701,2
51,240,379,1
109,19.799999,58.200001,1
176,2.77,6.0500002,2
176,1.37,2.5,1
157,603,1380,2
157,176,605,1
116,911,1790,2
116,495,693,1
15,85.099998,194,2
126,200,555,2
126,100,200,1
119,506,1080,2
119,253,487,1
87,25.4,42.700001,1
87,42.400002,236,2
61,12.8,27.799999,2
61,5.0500002,12.8,1
170,47.200001,141,1
170,141,268,2
165,19.9,73.900002,1
165,73.5,129,2
57,29.6,49.799999,1
57,50.200001,96.400002,2
164,53.099998,225,2
164,40.700001,52.700001,1
12,41,182,2
161,28.6,139,1
161,139,237,2
11,10.7,60.299999,2
44,55.200001,278,1
44,278,539,2
45,7.5,18.6,1
45,18.6,31.200001,2
49,25,32.5,1
49,32.5,43.299999,2
153,408,677,2
153,150,408,1
124,9,25.4,2
35,18.5,41.700001,1
35,52,131,2
41,24,59.900002,1
41,59.799999,137,2
33,5.0900002,18,2
33,0.64899999,3.55,1
144,0.98100001,1.92,1
144,7.1300001,15.7,2
144,2.96,5.5300002,1
146,26.299999,105,2
147,20.200001,120,2
147,9.1099997,20.1,1
27,52,128,2
145,148,354,2
189,100,228,2
36,60.099998,249,2
36,52.900002,60.099998,1
29,11.7,19.1,2
29,2.5899999,4.9299998,1
26,26.700001,56.900002,2
26,5.8699999,26.5,1
14,11.4,24.5,1
14,24.5,130,2
20,79.900002,305,1
46,2.01,5,1
46,4.9899998,11.3,2
138,99.5,698,1
21,50.5,71.300003,1
21,21.799999,242,1
140,114,807,1
140,14.1,99.800003,2
135,20.1,48.299999,2
135,17.200001,18.700001,1
32,65.599998,331,2
96,9.25,31.4,2
96,4.02,7.3699999,1
142,72.900002,173,1
142,323,979,1
142,650,979,1
108,367,722,1
108,731,1850,2
178,1.6,3.47,2
178,1,1.55,1
84,68.400002,102,1
84,110,425,2
85,240,357,2
85,83.099998,131,1
10,3.0899999,4.9899998,1
10,7.0599999,20.700001,2
142,319,979,2
42,10,22.5,1
42,22.5,53,2
39,3.49,23.5,1
134,2010,3830,2
134,1010,2000,1
91,28.799999,277,2
155,9.29,39.400002,2
155,1.25,9.2399998,1
56,200,299,1
56,300,468,2
142,25,90.400002,1
101,7.7399998,20.1,1
141,349,797,1
100,39.700001,80,1
100,59.700001,177,1
100,40.599998,175,2
100,404,652,1
19,1.8200001,3.46,1
19,5.4899998,40.200001,2
94,385,957,2
94,186,327,1
54,40.299999,114,2
54,16.5,39.799999,1
156,19.700001,64.199997,2
156,5.1500001,19.6,1
34,3.98,30,1
34,30,72.099998,2
58,94.699997,179,2
58,59.5,94.699997,1
73,60.200001,157,2
73,33.799999,54.099998,1
13,9.9899998,46.5,2
152,11.3,19.799999,2
152,7.0100002,11.3,1
150,9.9899998,25,1
150,27.5,41.299999,2
150,1.48,10,1
90,331,609,2
90,140,330,1
125,368,861,2
125,235,338,1
173,0.14399999,0.41100001,1
173,0.61199999,2.0699999,2
173,0.62300003,0.66900003,2
173,0.42399999,0.625,2
83,10.1,32.400002,2
83,6.04,9.7399998,1
180,13.5,17.9,1
180,24.799999,35.799999,1
180,43.099998,90.599998,2
40,6.4899998,20,1
40,20,82.900002,2
38,6.6999998,18.6,1
38,18.6,45.700001,2
92,23.200001,122,2
92,16.6,23,1
189,45,99.599998,1
167,58.700001,102,2
167,20.299999,58.700001,1
6,60.400002,132,1
66,20,40.599998,2
66,3.6099999,18.700001,1
98,252,813,1
98,23.299999,206,2
80,11.4,35.400002,2
80,6.0999999,9.1599998,1
3,13.3,23.4,2
3,6.6599998,12.6,1
59,2.5,9.9700003,1
59,9.9700003,21.5,2
110,302,555,1
110,143,291,2
110,70.5,114,2
110,114,128,2
9,166,402,1
71,49.799999,89.300003,2
71,18,29.9,1
23,58.400002,115,2
23,37.299999,58.5,1
89,10.2,26.9,1
89,34.5,80.300003,2
0,14.3,21.799999,2
0,8.46,14,1
185,1.53,7.8600001,1
185,7.8600001,30.299999,2
31,32.200001,207,2
135,7.3200002,18.299999,1
32,1.72,10.2,1
30,60,129,2
186,106,293,2
186,25.6,76.5,1
85,135,237,2
86,84.099998,272,2
86,53.200001,82.199997,1
62,31.200001,74.699997,2
118,10.2,29.700001,1
118,30.1,210,2
39,23.5,75,2
91,15,28.299999,1
22,63.799999,111,1
22,11.4,44,2
22,43.099998,47.5,1
22,41.299999,47.299999,2
99,9.6499996,29.5,1
99,32.599998,248,2
53,2.1700001,15,1
53,15.1,54.200001,2
190,4.9899998,12.8,1
190,12.8,21.4,2
187,4.9400001,19.9,1
187,20,42.900002,2
160,12.5,25.200001,1
160,25.200001,45,2
