noct,nopt,h,q
445,19,2366,16.5
445,20,2556,21.799999
445,21,2937,35.200001
445,22,3317,52.400002
445,23,3698,73.900002
445,24,4078,99.800003
466,1,140,1.1
466,2,200,2.0799999
466,3,240,3.0999999
466,4,400,6.7800002
466,5,500,10.6
466,6,700,20.200001
466,7,900,30.700001
466,8,1150,44
466,9,1400,59.200001
466,10,1600,72
466,11,1790,83.5
466,12,2100,104
466,13,2450,128
466,14,2750,160
466,15,2890,178
466,16,3050,197
466,17,3400,245
466,18,4100,358
466,19,4750,485
466,20,5400,643
468,1,107,2.5
468,2,187,3.5899999
468,3,268,4.9099998
468,4,430,8.2399998
468,5,592,12.5
468,6,754,17.799999
468,7,916,24.1
468,8,1078,31.4
468,9,1402,49.299999
468,10,1726,71.699997
468,11,2050,98.699997
468,12,2374,130
468,13,2697,167
468,14,3345,255
468,15,3992,364
468,16,4640,494
468,17,5287,646
468,18,5300,650
473,1,-350,1.2
473,2,-150,2.2
473,3,-50,2.8
473,4,50,3.4000001
473,5,200,4.6999998
473,6,300,6
473,7,400,8.3999996
473,8,500,11.3
473,9,600,15
473,10,750,21
473,11,900,28.200001
473,12,1100,38
473,13,1398,55.400002
473,14,1800,82
473,15,2400,138
473,16,3400,253
473,17,4000,337
473,18,4700,456
473,19,5500,600
528,17,8000,871
531,1,500,2.0999999
531,2,600,3.25
531,3,700,4.9000001
531,4,800,7.1999998
531,5,1000,12.2
531,6,1200,19
531,7,1400,27
531,8,1600,35.799999
531,9,1900,48.5
531,10,2200,64.699997
531,11,2500,83.800003
531,12,3200,136
531,13,4000,207
531,14,5000,313
531,15,6000,440
531,16,7000,629
531,17,8000,871
534,1,500,1
534,2,600,2.7
534,3,800,7
534,4,1000,12.9
534,5,1300,23
534,6,1600,33.299999
534,7,1900,47.599998
534,8,2200,64.699997
534,9,2500,83.800003
534,10,3200,136
534,11,4000,207
534,12,5000,313
534,13,6000,440
534,14,7000,629
534,15,8000,871
536,2,1050,1.9
536,3,1120,4.6999998
536,4,1200,8
536,5,1900,40
536,6,2300,59
536,7,2500,70
536,8,2700,84
536,9,2800,95
536,10,3000,120
536,11,3300,163
536,12,3900,249
578,4,3132,79.900002
578,5,3552,124
578,6,3972,174
578,7,4812,290
578,8,5652,423
578,9,7332,733
578,10,9012,1100
642,1,0,12
642,2,100,15.5
642,3,250,21.5
642,4,435,28.700001
642,5,566,34.099998
642,6,750,42
642,7,962,51.299999
642,8,1320,68
642,9,1800,87
659,1,-98,0.15899999
659,2,-89,0.442
659,3,-81,0.74699998
659,4,-65,1.46
659,5,-49,2.29
659,6,-33,3.21
659,7,-1,5.2600002
659,8,31,7.5500002
659,9,76,11.2
659,10,114,14.6
659,11,159,18.200001
659,12,228,21.9
659,13,250,22.799999
659,14,430,29.6
659,15,560,33.599998
659,16,750,40
659,17,1000,47.5
557,1,350,0.36000001
557,2,430,0.43000001
557,3,470,0.5
557,4,500,0.57999998
557,5,550,0.77999997
557,6,600,1
557,7,650,1.3
557,8,700,1.6
557,9,1000,3.5999999
557,10,1300,6
557,11,1600,8.8000002
557,12,2000,13.4
558,1,400,0.15000001
558,2,450,0.2
558,3,500,0.28
558,4,550,0.38
558,5,600,0.56999999
558,6,650,0.81999999
558,7,700,1.1
558,8,1000,3.0999999
558,9,1200,4.6999998
558,10,1400,6.6999998
558,11,1600,8.8000002
558,12,2000,13.4
727,1,450,0.035
727,2,500,0.13
727,3,600,0.97000003
727,4,700,2
727,5,800,3.0999999
727,6,950,5.0999999
727,7,1100,7.5
727,8,1200,9.1000004
727,9,1400,12.5
727,10,1600,16.5
727,11,1800,20
727,12,2200,28
727,13,3200,48
727,14,3300,53
727,15,3400,61
727,16,3500,72
727,17,3600,83
727,18,3700,93
727,19,3800,104
727,20,3900,115
727,21,4000,126
727,22,4100,137
909,1,-22,0.18700001
909,2,23,0.289
909,3,47,0.40599999
909,4,94,0.685
909,5,157,1.09
909,6,188,1.39
