noct,nosta,cdatedeb,cdatefin,cmin,cmax,cnum,cnbpt,ccomment,ctype,cdatemaj,cdateenregistrement,cdatecreation,cminp,cmaxp,cnum3,ctest,ccommentpriv
1064,16,"01/01/00 00:00:00","01/01/01 00:00:00",12,5000,"CT_sup",100,"h/q Baratin : Qmax","C",,,,,,,,
1065,16,"01/01/00 00:00:00","01/01/01 00:00:00",12,5000,"CT",100,"h/q Baratin : Qmaxpost","C",,,,,,,,
1066,1,"01/01/01 00:00:00","01/01/02 00:00:00",12,5000,"CT_Irs_inf",100,"h/q Baratin : Qmin","C",,,,,,,,
1067,1,"01/01/01 00:00:00","01/01/02 00:00:00",12,5000,"CT_Irs_sup",100,"h/q Baratin : Qmax","C",,,,,,,,
1068,1,"01/01/01 00:00:00","01/01/02 00:00:00",12,5000,"CT_Irs",100,"h/q Baratin : Qmaxpost","C",,,,,,,,
1074,13,"12/24/10 11:25:00","09/01/13 00:00:00",230,900,"2",13,"fermée suite à la crue du 31 mai 2013 mais après l'été pour assurer continuité des débits pour h <0,3 m","C","03/01/18 11:05:00","03/01/18 12:05:00","11/16/12 14:30:00",,,"2",0,
1075,13,"12/28/81 00:00:00","01/01/84 00:00:00",100,1700,"C17315",13,,"C",,,,,,,,
1076,13,"01/01/84 00:00:00","01/01/95 00:00:00",130,1650,"C17316",14,,"C",,,,,,,,
1197,12,"01/01/81 00:00:00","01/01/82 00:00:00",50,4600,"C17344",21,,"C",,"01/31/22 11:25:00",,,,"C17344",0,
1346,135,"12/31/09 23:00:00","10/16/14 12:00:00",50,2300,"1",23,"DREAL Alsace en 2012","C","11/08/23 15:32:00","11/08/23 15:32:00",,,,"1",0,
1077,13,"01/01/95 00:00:00","12/24/10 11:25:00",110,1300,"1",13,"BASE COURBE DE TARAGE INITIALE SNS DE 1984, révisé provisoirement en 2012 (DM) et exporté sur Hydro. A vérifier en été, pour les herbiers.
fermé suite crue décembre 2010
","C","03/01/18 11:11:00","03/01/18 12:04:00","10/08/12 11:00:00",,,"1",0,
1080,7,"01/01/08 12:00:00","02/01/13 21:30:00",250,1600,"2",14,"CT reprise par DREAL Alsace ( DM ) en 2012 et importé sur hydro.","C","05/17/13 10:25:00","05/17/13 10:25:00","10/05/12 13:00:00",,,,,
1087,19,"12/28/94 00:00:00","01/01/95 00:00:00",1080,3700,"C17317",100,,"C",,,,,,,,
1088,19,"09/05/17 12:00:00","02/08/19 08:00:00",1000,3400,"4",31,"Extrapolation pour h>340cm d'après étude Irstea

","C","05/09/18 15:00:00","05/19/20 10:47:00","01/18/18 00:00:00",,,"4",0,
1089,19,"06/27/07 00:00:00","09/05/17 12:00:00",1050,3100,"3",22,"Extrapolation pour h>300cm d'après étude Irstea","C","01/18/18 15:42:00","01/18/18 15:42:00","12/12/12 10:48:00",,,"3",0,
1096,10,"01/01/06 12:00:00","02/09/17 20:00:00",210,2100,"4",20,"CT reprise par DREAL en 10/2012 (DM )
Modification septembre 2015 par MD/TH.
A affiner pour H>210cm.","C","09/25/15 10:21:00","03/11/19 14:19:00","09/25/15 00:00:00",,,"4",0,
1097,10,"02/09/17 20:00:00","01/01/50 12:00:00",170,2700,"5",20,"Mise en cohérence des points bas plus prise en compte des jaugeages à 2,37 m et 
 2,57 m

m.","C","04/30/20 11:43:00","04/30/20 11:50:00","06/09/17 20:00:00",,,"5",0,
1119,11,"01/01/08 00:00:00","12/31/20 00:00:00",150,2350,"EICH2010",2,"Courbe en construction. La visualisation actuelle n'est qu'un prémisse de courbe. Il nous manque des éléments majeur pour continuer et fiabiliser la construction de cette courbe, comme le profil en travers.","T","02/25/10 11:15:00","11/30/10 11:10:00","02/25/10 11:15:00",,,,,
1120,11,"01/01/08 00:00:00","12/31/20 00:00:00",150,2350,"EICH2010",2,"Courbe en construction. La visualisation actuelle n'est qu'un prémisse de courbe. Il nous manque des éléments majeur pour continuer et fiabiliser la construction de cette courbe, comme le profil en travers.","T","02/25/10 11:15:00","03/15/10 15:14:00","02/25/10 11:15:00",,,,,
