nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,codehydro3,codesitehydro3,synchronisation
23,"A0042700","HASELBOURG","ZORN",958.16,2421.52,,,"S","115680",,,,,,"A0042700","Altitude: 235.00 environ","02/05/99 00:00:00",,,,,,,,,,,
26,"A3422010","SAVERNE","La Zorn",967.333,2425.943,932.5,185,"S","115680",2.27,0.75,19,28,34,"A3422010","Plan cadastral SAVERNE SECTION 25 ; 1/2000

observations depuis le 24/10/1966
zéro de l'échelle = 189.515 NGF

appareil de mesure CR2M TYPE600/HDL
STATION équipée en ligne éléctrique et téléphone pour l 'AC depuis le 2000
N° Teléphone: 03 88 91 38 17

Gestionnaire Guillaume PHILIPPS
Depuis septembre 2006 la station est équipée pour l'AC par le matériel CPL PARATRONIC avec un capteur intelligent hydrologic type LPN/8 + moden RTC N° 03 88 91 38 17.								


SECURITE
L'accès à la station de mesure ne pose pas de difficulté, le véhicule est garé sur le bas côté mais gêne le croisement des véhicules sur cette route trés fréquentée où la circulation sur cette portion en ligne droite est rapide  .

Jaugeages au MOULINET:
Pas de difficultés, la section est régulière.

Jaugeage au SAUMON:
Sans risques à partir de la passerelle 

Jaugeage ADCP/stream pro
Sans risques à partir de la passerelle

RECOMMANDATIONS:
Jaugeage au MOULINET: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON: S'assurer de la solidité de la passerelle: ( elle a été rénovée en 2000 )
Jaugeage ADCP/STREAM PRO: revêtir les EPI.
","05/20/05 00:00:00","00",,,,,,"02/04/16 13:57:00",,"A341020001","A3410200",
27,"A2250310","OHNHEIM","ill",996592,2401370,960.78,167,"S","115680",37.8,27,52,56,58,"A2250310","Coordonnes LAMBERT Zone II étendu.
latitude : N 48°29'20"" E 7°42'14''
Observations depuis le 20/10/75
Adresse: 16, route du Général DE GAULLE  67640 FEGERSHEIM-OHNHEIM

zéro de l'échelle = 141.63 NGF
Echelle limnimétrique: 2 m. (1970, DDAF67).","05/12/05 00:00:00","10",,,,,,"10/04/19 15:43:00",,"A243003001","A2430030",
29,"A0045300","FORSTFELD","SAUER",,,,,"S","000000",,,,,,"A0045300",,,,,,,,,,,,,
30,"A3472010","WALTENHEIM","ZORN",989.42,2429.91,967.12,688,"S","115680",5.38,1.61,52,80,99,"A3472010","Coordonnées LAMBERT Zone II étendu.
Observations depuis le 01/07/1941; limnigraphe depuis le 16/11/1983.
Adresse: Pont D332, Rive Droite, Maison éclusière, 67670 WALTENHEIM sur Zorn.

zéro de l'échelle = 147.28 NGF
Echelle limnimétrique: 5 m.
ALCYR: CYR2 V23 N° 011010 installé le 10/12/2002. 
MODEM RTC  Téléphone N°: 03 88 59 15 46
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14Sonde 

sonde:PARATRONIC N° 2912-1 / 4000  L= 20 m.
PARAFOUDRE Type:
Abri: Abri galvanisé (SAS).

Depuis septembre 2006 la station est équipée pour l'AC par le matériel CPL PARATRONIC avec un capteur intelligent hydrologic type LPN/8 + moden RTC N° 03 88 59 15 46.
+ une sonde de température installée le 09/07/2009.
L'alimentation éléctrique est assurée par ES en 220V.
Jaugeage de crue sur le pont de la D332.

Responsable et gestionnaire de la station: GUILLAUME PHILIPPS

SECURITE:
Le véhicule se gare sur l'accotement.
L'accès à la station ne pose pas de problème.

Echelle limnimetrique:
Lecture et nettoyage sans grandes difficultées.

Jaugeage au moulinet:
Pas de problèmes spécifiques.

Jaugeage au saumon:
Possible à partir du pont.

Jaugeage avec le STREAM-PRO méthode ADCP.
Possible au delà de 1.00 à l'échelle

RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO, mettre les EPI.

GP","05/20/05 00:00:00","00",,,,,,"07/06/23 16:23:00",,"A348020001","A3480200",
31,"A3902010","WEILER","LAUTER",1006.87,2463.868,,278,"S","115680",2.52,1.45,7.9,10,12,"A3902010","observations depuis le 27/11/1975

zéro de l'échelle : nivelé le 23/07/2002
altitude du zéro:166.975 NGF 69

Adresse: Chapelle ST LEON
67160 Wissembourg

le 6/11/2002 installation d'un CYR2 V23 N°011015
MODEM RTC TEL: 03 88 94 00 48
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14
sonde PARATRONIC 2911-6
pleine échelle fixée à :  2 m
longueur du câble:      15 m       
cabine GROLLEAU 

Gestionnaire: Guillaume PHILIPPS

SECURITE

Echelle LIMNIMETRIQUE:
L'accès à l'échelle est sans problèmes majeurs.
Jaugeage au MOULINET:
Les jaugeages à gué se font  sans risques.
Jaugeage au SAUMON:
En cas de crue le pont de la station n'est pas trés fréquenté, en conséquence le jaugeage est sans danger.
Jaugeage ADCP/STREAM PRO:
Sans danger.

RECOMMANDATIONS:
Nettoyage de l'échelle LIMNIMETRIQUE: L'endroit est relativement profond faire attention au-delà de 40 cm.
Jaugeage au MOULINET: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO, mettre les EPI.

GP
                                       ","05/20/05 00:00:00","10",,,,,,"07/06/23 16:09:00",,"A380020001","A3800200",
32,"A2732010","RUSS/WISCHES","BRUCHE",964.783,2401.012,950,230,"S","115680",6.04,1.14,63,90,110,"A2732010","Station probablement mise en oeuvre par les Allemands ENTRE 1940 ET 44.

Des relevés ont été observés à partir du 7 février1949: enregistrements continus subdivision de Molsheim: observateur Madame PEPIN Yvonne de SCHWARTZBACH jusqu'au 14 juin 1966: très nombreuses lacunes, jusqu'en 1963.

altitude du zéro de l'échelle 263.18 NGF

Adresse: amont pont D804 rive droite 67130 RUSS
Hydromètre gestionnaire: Stephane LAPINE
Depuis septembre 2006 la station est équipée pour l'AC par le matériel CPL PARATRONIC avec un capteur intelligent hydrologic type LPN/8 + moden RTC N° 03 88 97 55 69.								

Historique des gestionnaire, si différent de DIREN Alsace : Station annonce de crue en parallèle jusqu'en 2005

Buts- vocation station :  contrôle amont du bassin de la bruche et tous les affluents du haut bassin versant.

---
EMPLACEMENT ET METHODES DE JAUGEAGE :
(la dernière méthode utilisée) ADCP

Etiage :
Jaugeage au moulinet:
Hormis la descente du talus, la section est plus profonde en rive gauche et les galets du fond du lit très glissants.

Eaux basses :
Eaux moyennes :
Jaugeage  ADCP / STREAM PRO sans difficultés.


Crues :
Jaugeage au saumon : Le camion empiète sur la moitié du pont, le danger lié à la circulation est élevé
---
ANALYSE QUALITE COURBES TARAGE :
---
Jaug en crue ? OUI
Jaug étiage ? OUI
Jaug moyen ? OUI

T du jaug maxi (gumbel) : 10 ans
T du jaug mini (débits classés) : env 20 ans
Incertitudes ? Habituelles (5%)

Courbe de tarage stable ? Oui, faible nombre depuis 1962

Géométrie lit stable ? Oui, fond de couche de grès
Causes changement courbe ? Des travaux ont conduit à des corrections de hauteur sur Hydro ; des embâcles notamment après tempete de 99 ont été nombreux

EN CRUE :
Débordement en lit majeur ? Non, tout passe dans la section
Totalité débit mesuré ? oui
si non, estimation partie dérivée ?
Si débordement, cote de débordement ?
si oui, comment est prise en compte cela dans courbe ?

Présence ouvrage influençant écoulement et comment ? NON

Existe t il un contrôle aval ? NON

Extrapolation courbe : Tracé assisté par le logiciel BAREME ( en couple ou en tronçon)
Quelle méthode employée ? Depuis 1995: Tracé assisté par le logiciel BAREME ( en couple ou en tronçon
Qualité globale de la partie extrapolée de la courbe: bonne

EN ETIAGE :
Ecoulements influencés par des rejets ? NON

Gêne de l'écoulement par de la végétation, ou autre ? NON

Présence ouvrage influençant écoulement et comment ? NON

Existe t il un contrôle aval ? NON

Bilan sur Hydro : bon

Qualité des débits selon les années ? bon

Qualité des débits par gamme de débit ? bon

Etudes antérieures ayant étudié la qualité des courbes de tarage , réf ? N.R.
","05/12/05 00:00:00","10",,,,,,"07/06/23 16:28:00",,"A273011002","A2730110",
33,"A3712010","GOERSDORF","SAUER",996.915,2453.799,,192,"S","115680",1.91,0.99,12,18,22,"A3712010","altitude du zéro = 171.94 NGF

CR2M depuis le 24/09/96
Adresse:Maison de convalescence,221
Liebfrauenthal
67360 GOERSDORF","10/18/99 00:00:00","10",,,,,,"10/23/23 15:25:00",,"A361011001","A3610110",
34,"A2312020","THANVILLE","GIESSEN",971.569,2380.736,,99,"S","115680",1.39,0.09,19.3,25.6,29.8,"A2312020","Coordonnées LAMBERT Zone II étendu.
Observations depuis le 12/01/84
Adresse: Pont du CD 424 Rive Droite prés du 1, de la rue de l'Eglise 67220 THANVILLE.

zéro de l'échelle = 227.51 NGF
Echelle limnimétrique: 2 m.

ALCYR: CYR2 V23 N°011018 installé le 26/11/2001. inventaireN°B178
MODEM RTC Téléphone N°:03.88.57.63.89
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

PARAFOUDRE Type:
Sonde PARATRONIC: 4-20mA/0/2000
Abri: Abri en tôle (GROLLEAU).

Depuis le mois de septembre 2006 la station est équipé par paratronic , type CPL avec capteur intelligent Hydrologic type: lpn/8  sous tension 220 V.

Responsable et gestionnaire de la station: Stephane LAPINE.

SECURITE:
Le véhicule se gare sur le terre plein de l'îlot central.
L'accès à la station ne pose pas de problème.

Jaugeage au moulinet:
Pas de problèmes spécifiques.

Jaugeage au saumon: 
Possible à partir du pont de la D424.

Jaugeage avec le STREAM-PRO méthode ADCP.
Possible en HE.

RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.

Jaugeage au SAUMON: mettre en oeuvre le chantier mobile et les EPI, la circulation à cet endroit où la chaussée est réduite est intense, une grande prudence est nécessaire. 

Jaugeage STREAM PRO: mettre les EPI.

L'habilitation éléctrique ( non éléctricien) est indispensable et doit être à jour.

gp


","05/20/05 00:00:00","10",,,,,,"07/12/23 15:16:00",,"A231020001","A2310200",
11,"A2420210","ZEMBS À ERSTEIN-KRAFFT-SUCRERIE","ZEMBS",996.042,2392.288,994.75,,"S","115680",,,,,,"A2420210","


Altitude 152.5m
Altitude du zéro de l'échelle: 148.98 NGF
(Altitude fournie par le SGAL)
Echelle située dans l'enceinte de la Sucrerie.

Nouvelle échelle installée le 22 août 2001 en amont du pont de la D426.( pas nivelée)

Appareil MONOPHENE GSM installé le 27 avril 2004
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

sonde KELLER N° 2077 ; 20 M ; amplitude 0 - 4mA
cabine GROLLEAU N° 00313A11TM045 série 9 année 01/12/2003

SECURITE:
L'accès et l'arrêt à la station est aisé, elle se situe en face de l'entrée de la sucrerie.


RECOMMANDATIONS:
Jaugeage au moulinet: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP / STREAM PRO: pas possible","05/10/05 00:00:00","00",,,,,,"11/20/23 11:35:00",,"A242020001","A2420200",
