nosta,codehydro,nom,courdo,xlambert,ylambert,pk,bv,type,nogest,module,qrefetiage,qix2,qix5,qix10,mnemo,comment,datemaj,typemes,cotedebordement,coteseuil,nomcommune,inseecommune,ngfechelle,dateenregistrement,datecreation,codehydro3,codesitehydro3,synchronisation
67,"A2782010","WOLXHEIM","BRUCHE",982.02,2408.99,,615,"S","115680",,,,,,"A 2782010","observations en continue depuis octobre 2006. Hydromètre gestionnaire : Stephane LAPINE

Depuis septembre 2006 la station est équipée pour l'AC par le matériel CPL PARATRONIC avec un capteur intelligent hydrologic type LPN/8 + moden RTC N° 03 88 38 36 16.
+ une sonde de température installée le 09/07/2009.
L'alimentation éléctrique est assurée par ES en 220V.

zéro de l'échelle jusqu'au:       = 161.43   mNGF

Adresse : carte IGN TOP 25  MONT ST ODILE 3716 ET

Historique des gestionnaire, si différent de DIREN Alsace : station uniquement annonce de crue jusqu'en 2005, hauteur non bancarisées sur Hydro

Buts- vocation station : .. LA QUESTION DE SON MAINTIEN EST POSEE EN INTERNE..(2007)

---
EMPLACEMENT ET METHODES DE JAUGEAGE :
(la dernière méthode utilisée) ADCP

Etiage :
Jaugeage au moulinet:
Il ne peut s'effectuer au niveau du seuil, très mauvaise section. En étiage, il faut effectuer les mesures une 20taine de mètres en aval du seuil.

Eaux basses :
Eaux moyennes :
Jaugeage avec le STREAM-PRO méthode ADCP, elle s'effectue à partir du pont.

Crues :
Jaugeage au saumon:
Possible à partir du pont. Le risque est celui lié à la circulation routière.
---
---
ANALYSE QUALITE COURBES TARAGE :
---
Jaug en crue ? bon
Jaug étiage ? mauvais
Jaug moyen ? OUI

T du jaug maxi (gumbel) : N.R.
T du jaug mini (débits classés) : N.R.
Incertitudes ? Habituelles (5%)

Courbe de tarage stable ? N.R.

Géométrie lit stable ? Non, le seuil est d'années en années de plus en plus abîmés suites aux crues
Causes changement courbe ? Seuil en mauvais état

EN CRUE :
Débordement en lit majeur ? non
Totalité débit mesuré ? non
si non, estimation partie dérivée ? oui le canal de la bruche ainsi que le bras d'ALTORF et le DACHSTEINERBACH
Si débordement, cote de débordement ?
si oui, comment est prise en compte cela dans courbe ?

Présence ouvrage influençant écoulement et comment ? N.R.

Existe t il un contrôle aval ? Non

Extrapolation courbe :
Quelle méthode employée ? Tracé assisté par BAREME
Qualité globale de la partie extrapolée de la courbe ? bonne

EN ETIAGE :
Ecoulements influencés par des rejets ? N.R.

Gêne de l'écoulement par de la végétation, ou autre ? N.R.

Présence ouvrage influençant écoulement et comment ? seuil devenu instable

Existe t il un contrôle aval ? N.R.

Bilan sur Hydro :

Qualité des débits selon les années ? N.R.

Qualité des débits par gamme de débit ? N.R.

Etudes antérieures ayant étudié la qualité des courbes de tarage , réf ? N.R.
","11/16/06 00:00:00","00",,,,,,"02/04/16 13:43:00",,"A285011001","A2850110",
68,"A224030","ERSTEIN PONT DE BOIS","ILL",,,,,"S","115680",,,,,,"A224030",,"03/15/06 00:00:00","10",,,,,,,,,,
195,"A2360033","MUTTERSHOLTZ (RIED)","Hanfgraben",,,,,"S","115680",,,,,,,,,"00",,,,,,"03/11/22 09:30:00","12/14/21 15:40:00",,"A2360033",
340,"A3520200","HOERDT (ZI)","Landgraben",,,,,"S","115680",,,,,,,"DREAL Grand Est - Installation le 24/10/2024 Echelle limnimétrique et capteur autonome Ijinus.
Etude des écoulements débits et hauteurs",,,,,,,,"01/29/25 14:29:00","11/13/24 15:55:00","A352020001",,
80,"A2512020","VALFF","Andlau",985.12,2392.1,982.6,55.099998,"V","115680",,,,,,"A2512020","




 carte selestat 3717 est","01/27/99 00:00:00","10",,,,,,,,,,
81,"A2842011","SCHARRACHBERGHEIM","MOSSIG",979.45,2412.151,997.75,22.6,"V","115680",,,,,,"A2842011","







carte 3716 est : Molsheim  /  Lambert 2
échelle limni. aval step","01/27/99 00:00:00","10",,,,,,,,,,
83,"A2842012","IRMSTETT","Mossig",979.55,2412.525,996.12,22.6,"V","115680",,,,,,"A2842012","






point de jaugeage amont step","01/27/99 00:00:00","10",,,,,,,,,,
85,"A01224032","OSTHOUSE CANAL","Canal du Moulin",,,,,"S","115680",,,,,,"A224032","SECURITE:
Accès à la station:
Se fait sans difficulté par un chemin de terre  carrossable, il n'y a pas de problème pour se garer.

Jaugeage au moulinet:
Hormis la descente du talus aucune difficulté particulière, la section est relativement profonde mais régulière.

Jaugeage au saumon:
Le camion ferme quasiment le pont, mais il y a très peu de passage à cet endroit il n'y a pratiquement aucun danger de circulation.

Jaugeage  ADCP / STREAM PRO:
Sans aucun problème.

RECOMMANDATIONS:
Jaugeage au MOULINET: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON  : Mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP           :  Revêtir les EPI.","05/09/05 00:00:00",,,,,,,"05/03/07 17:21:00",,,,
86,"A1223032","KOGENHEIM ( CANAL )","Le Canal du Moulin",,,,,"S","115680",,,,,,"A1223032",,"05/25/04 00:00:00",,,,,,,,,,,
87,"A1234567","DUPPIGHEIM","LE BRAS D'ALTDORF",987.58,105.53,,,"V","115680",,,,,,"A1234567","carte 1/25000 strasbourg 1-2","03/15/06 00:00:00",,,,,,,"09/05/08 09:05:00",,,,
90,"A053031","BOOFZHEIM LACHTER"," la Lachter",995.47,84.17,,30,"V","115680",,,,,,"A053031","coordonnées lambert : Benfeld 1-2
situation D5 Boofzheim- Herbsheim, rive gauche
côté aval du pont sur la lachter.
jusqu'au 12/02/92 l'altitude du zéro de l'échelle: 156.293 NGF","03/15/06 00:00:00","10",,,,,,"06/29/07 10:51:00",,,,
95,"A3430210","ECKARTSWILLER (OBERHOF)","la Zinsel du Sud",965.337,2433.937,982.45,88.900002,"S","115680",,,,,,"A3430210","ALTITUDE 194.00M
CARTE IGN 3714 ET Série bleue
station cpl avec capteur hydrologic lpn/8 modem RTC N°03 88 70 19 15
station AC 

HYDROMETRE gestionnaire: Guillaume PHILIPPS

SECURITE JAUGEAGES: 
Port des EPI Classiques: En effet les jaugeages de crues sont possibles à l'ADCP STREAM PRO à partir du pont amont station.
zéro de l'échelle 190.460 IGN 69","11/16/06 00:00:00","00",,,,,,"02/17/17 15:11:00",,"A343021001","A3430210",
96,"A2380770","ERSTEIN  ILL - KRAFT CANAL DECHARGE","CANAL DE DECHARGE ILL",994.8,92.90000000000001,,3100,"S","115680",,,,,,"MURGIESSEN","
SITUATION: Route ERSTEIN-GERSTHEIM - PONT SUR LE CANAL DE DECHARGE DE L'ILL.

échelle installée en 1906 au pont RD426 (dit pont de gerstheim) ; 
COTE ZERO DE L'ECHELLE :  148.92 NN/ 149.14NGFortho

limnigraphe OTT X - 8 J installée le 01/02/1946

Depuis la suppression du barrage à aiguille, les jaugeages sont effectués au pont de la RD 468 à Erstein-Krafft en aval du croisement canal Rhin-Rhone / canal de décharge de l'Ill : les hauteurs associées à ces jaugeages sont lues sur l'échelle""historique"" de la RD426  (dit pont de Gerstheim).","12/30/99 00:00:00","10",,,,,14914,"12/18/23 14:46:00",,"A238077201","A2380772",
97,"A34920","WEYERSHEIM","ZORN",,,,,"S","115680",,,,,,"A34920",,"02/04/00 00:00:00",,,,,,,,,,,
99,"A315010","PFAFFENHOFFEN","MODER",,,,77.099998,"S","115680",,,,,,"A315010",,"03/15/00 00:00:00","10",,,,,,,,,,
105,"A224029","ERSTEIN-AVAL STEINSAU","ILL AVAL STEINSAU",,,,,"V","115680",,,,,,"A224029",,"06/06/03 00:00:00","10",,,,,,"03/19/09 11:46:00",,,,
116,"041950","HAGUENAU","ZINSEL DU NORD",,,,,"S","115680",,,,,,"RNB",,"07/16/04 00:00:00","10",,,,,,,,,,
117,"A0410300","SCHOENAU","MUHLBACH",994.45,2371.453,,,"S","115680",,,,,,"A0410300","Station de mesures installée le 17 Mars 2004.
Lieu: dans l'agglomération de Schoenau, au pont du Muhlbach, en rive gauche.
Cabine GROLLEAU N° OSLCT76957 N° Série 6 du 01/12/2003.

MONOPHEME GSM N° 040213.
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

Sonde Endress+Hauser WaterpilotFMX 167-A1ABB1A7 (4-20mA); amplitude 0à 0.2 bar; L=5m.
Echelle (1m.) installée en rive gauche, le 17 Mars 2004.

SECURITE:
Le véhicule se gare sans danger particulier.
L'accès à la station ne pose pas de problème.

Jaugeage au moulinet:
Pas de problèmes particuliers.

Jaugeage au saumon:
Possible à partir du pont.

Jaugeage avec le STREAM-PRO méthode ADCP.
Pas de difficultés spécifiques.

RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, la pente est nulle.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO, mettre les EPI.
","05/23/05 00:00:00","00",,,,,,"02/04/16 14:03:00",,"A041030001","A0410300",
118,"A0530310","FRIESENHEIM","WESTERLACHGRABEN",984.831,2380.934,,,"S","115680",,,,,,"A0530310","
Station de mesures installée le 23/03/2004
Lieu: au Sud Ouest de la commune, en aval du pont sur le Westerlachgraben, en rive gauche.
Cabine GROLLEAU : LCT76957 série3 du 22/12/2003

Type: MONOPHENE GSM, N°040211
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

Sonde KEPPLER , L= 10 m., amplitude: 0-4mA.

Echelle (2 m.) installée le 23/03/2004.

","05/06/05 00:00:00","00",,,,,,"05/16/23 10:39:00",,"A053074301","A0530743",
119,"A2420200","HERBSHEIM","ZEMBS",992.232,2385.254,,,"S","115680",,,,,,"A2420200","





Station de mesures installée le 19 Mai 2004.
Altitude: 158m
LIEU: dans l'agglomération de HERBSHEIM, au pont de la D5 sur la ZEMBS, en rive droite.
Cabine GROLLEAU.
MONOPHEME N°
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

Sonde KELLER 2078 (0-4mA) 20m.
Echelle (2 m.) installée par GESTION HYDRO.

SECURITE:
Le véhicule se gare sans danger.
L'accès à la station ne pose pas de problème.

Jaugeage au moulinet:
Pas de problèmes spécifiques la section est  régulière.

Jaugeage au saumon:
Possible à partir du pont de la D5 situé au droit de la station.

Jaugeage avec le STREAM-PRO méthode ADCP.
Possible à partir de la passerelle en amont.

RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO sans danger spécifique à partir de la passerelle.

","05/06/05 00:00:00","00",,,,,,"02/04/16 14:01:00",,"A242020101","A2420201",
120,"A0520033","BOOFZHEIM-RIED","NEUERGRABEN",997.116,2383.275,,,"S","115680",,,,,,"A0530033","
coordonnées lambert : Benfeld 1-2
Station de mesures installée le 7 avril 2005
Altitude: 157.5 m

Lieu: en aval du pont de la D5 (entre Boofzheim et Rhinau) sur le NEUERGRABEN, en rive gauche (entre le pont et la passerelle cycliste).

Cabine grolleau

MONOPHEME N° 040212 alimenté par une batterie, elle même chargée par un panneau solaire.
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

Sonde KELLER n° 2087 (10m) Amplitude 4m

Echelle limnimétrique: 0-1m

SECURITE:
L'accès à la station est facile, mais l'arrêt du véhicule nécessite de se garer sur la piste cyclable qui longe la D5 en conséquence, il faut mettre en oeuvre les feux spéciaux et porter les EPI.

Jaugeages au MOULINET:
Pour accéder à la rivière il y a risque de glissade sur le talus;
Le  jaugeage au moulinet se fait sans difficultés particulières, il y a toutefois des bords trés envasés.

Jaugeage au SAUMON 
Possible à partir du pont mais le danger c'est qu'elle est trés fréquentée car il y a un super marché à proximité.

Pour le jaugeage avec la methode ADCP ou STREAM PRO, les EPI sont nécessaires. 

RECOMMANDATIONS:
Faire attention aux cyclistes.
Jaugeage au moulinet: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP STREAM PRO mettre les EPI.","05/23/05 00:00:00","00",,,,,,"01/08/21 16:03:00",,"A052034001","A0520340",
121,"A0520031","GERSTHEIM-MUHLBACH"," Le MUHLBACH",997.811,2390.959,,,"S","115680",,,,,,"A0520030","





Station de mesures installée le 11 avril 2005 
Altitude 152.5 m

Lieu: en aval du pont de la D320 sur le Muhlbach, en rive gauche.
Cabine GROLLEAU
Appareil d'acquisition type CR2M N° 5935 HDL 600
Sonde PARATRONIC N° 2840; Amplitude 0-3m; L = 10 m
Echelle 0-1m 

SECURITE: 
L'accès à la station se fait en arrêtant le véhicule sur l'accotement de la D320, c'est une route relativement fréquentée et la vitesse des véhicules qui circulent sur cette portion de ligne droite est élevée;
L'accès à l'échelle et au lit de la rivière se fait en descendant un talus.

Jaugeage à gué: 
La mesure au moulinet ne présente pas de difficultés ni de dangers spécifiques.

Jaugeage au saumon:
A partir du pont en empiétant sur la chaussée.

Jaugeages ADCP avec le STREAM PRO
A pied, à partir du pont. 

RECOMMANDATIONS:
Jaugeage au moulinet: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO, mettre les EPI.","08/10/05 00:00:00","00",,,,,,"02/04/25 16:16:00",,"A053031001","A0530310",
123,"A0530750","OBENHEIM-ALTWEIL","ALTWEIL",996.202,2387.89,,,"S","115680",,,,,,"A0530750","





Station de mesures installée le 06 Mai 2004.
Lieu: en aval du pont de la D468 (entre Obenheim et Gerstheim) sur l'Altweil, en rive droite.
Cabine GROLLEAU N°313A11TM045 du 01/12/2003.
Monopheme N°
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14


Sonde KELLER 2076 (0-4mA) 20m.
Echelle (1 m.) installée le 06 Mai 2004.

SECURITE:
Accès à la station:
La route est fréquentée, la prudence doit être redoublée au droit de la station pour se garer sur l'accotement .

Jaugeage au moulinet:
Hormis la descente du talus aucune difficulté particulière, la section est régulière.

Jaugeage au saumon:
Une grande prudence est nécessaire, car il y a empiètement sur la quasi moitié de la chausséeet la visibilité pour les véhicules venant de Gerstheim réduite à cet endroit.

Jaugeage  ADCP / STREAM PRO:
Réalisable.


RECOMMANDATIONS:
Jaugeage au MOULINET: Attention à la descente du talus: risque de glissade entrainant la chute dans la rivière.
Jaugeage au SAUMON  : Mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP           :  Revêtir les EPI.
                       
GP
","08/10/05 00:00:00","00",,,,,,"02/04/16 14:00:00",,"A053074001","A0530740",
124,"A0510030","OBENHEIM-BRUNNWASSER","Le BRUNNWASSER",997.23,2386.4,,,"S","115680",,,,,,"A0510030","
Station de mesures installée le 11 janvier 2005
ALTITUDE : 156 m
Lieu: en aval du pont de la D124 (entre Obenheim et Daubensand), en rive droite en amont du pont.
Cabine GROLLEAU N° 00313 A11TM044 Série N°4

MONOPHEME N°
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

Sonde keller n) 2079 (0-4mA) 20m
Echelle ( 1m) 
ECURITE:
Accès à la station:
Pas de problème majeur.

Jaugeage au moulinet:
Ce jaugeage n'est pas réalisable.

Jaugeage au saumon:
A partir du pont sans grandes difficultés.

Jaugeage  ADCP / STREAM PRO:
Sans problème.

RECOMMANDATIONS:
Jaugeage au MOULINET: Néant
Jaugeage au SAUMON  : Mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage ADCP           :  Revêtir les EPI.
                       
","08/10/05 00:00:00","00",,,,,,,,,,
125,"A2230310","KOGENHEIM  (TOTAL = ILL + CANAL )"," L'Ill",,,,,"S","115680",,,,,,"A1223030",,"05/25/04 00:00:00",,,,,,,"02/04/16 13:49:00",,"A236003001","A2360030",
127,"A0430311","DIEBOLSHEIM","L ' ISCHERT",995.255,2379.03,,,"S","115680",,,,,,"A0430311","Station de mesures installée le 30 mars 2005
Altitude: 162.5 m

Lieu: près du pont sur l'Ischert (en direction de la Centrale Electrique de Rhinau), en rive gauche.
Cabine GROLLEAU N°B234 à l'inventaire + B 239 pour la rehausse.

MONOPHEME N° 040210 équipé d'un panneau solaire.
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

Sonde KELLER n°208 Amplitude :4 m

Echelle: 0-1 m

SECURITE:
Le véhicule se gare sans danger particulier.
L'accès à la station ne pose pas de problème.

Jaugeage au moulinet:
Pas de problèmes spécifiques.

Jaugeage au saumon:
Possible à partir du pont.

Jaugeage avec le STREAM-PRO méthode ADCP.
Possible en HE.

RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO, mettre les EPI.


","08/10/05 00:00:00","00",,,,,,"02/04/16 14:01:00",,"A052033001","A0520330",
131,"A2260020","OHNENHEIM","la BLIND",982.27,2366.36,,,"S","115680",,,,,,"A2260210","






Station installée le 29 mars 2005
Altitude: 176m

Type: MONOPHENE GSM N° 040207
Marque : ALCYR, Christian BURGER;  18, allée des Fauvettes, 92 160 ANTHONY/ Tel: 01 40 96 91 21 fax: 01 40 96 91 24
Fabricant : ELECTOSTRUCTURE; 14 rue de la Gare, 77 163 MORTCERF/ Tel: 01 64 65 26 13 Fax: 01 64 65 26 14

Cabine GROLLEAU Série 7

Sonde ENDRESS/HAUSER N° 52006116; Waterpilot FMK 167- A1AB6187
L=10m
amplitude 0 à 0.2 bar


SECURITE:
L'accès à la station se fait par une route qui mène à un ancien Moulin actuellement habité.
L'accès à la station ne pose pas de problème particulier mais elle est trés fréquentée par les tracteurs.

Jaugeage au moulinet: 
La section au droit de la station est régulière.

Jaugeage au saumon:
Possible à partir du pont.

Jaugeage avec le STREAM-PRO méthode ADCP.
Possible.

RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI passage trés fréquent de tracteurs. 
Jaugeage STREAM PRO, mettre les EPI.


","05/23/05 00:00:00",,,,,,,"02/04/25 16:24:00",,"A226020101","A2260201",
132,"A2860112","OBERSCHAEFFOLSHEIM","BRUCHE",992.3,110.25,,691,"S","115680",8.67,0.86,85,130,150,"A2860112","Arrêt station le 20 juin 1995 voir fiche HOLTZHEIM ACTUELLE



---
ANALYSE QUALITE COURBES TARAGE :
---
Jaug en crue ? NON
Jaug étiage ? OUI
Jaug moyen ? OUI

T du jaug maxi (gumbel) : N.R.
T du jaug mini (débits classés) : N.R.
Incertitudes ? Habituelles (5%)

Courbe de tarage stable ? NON 

Géométrie lit stable ? NON
Causes changement courbe ? Seuil noyé

EN CRUE :
Débordement en lit majeur ? NON
Totalité débit mesuré ? 
si non, estimation partie dérivée ?
Si débordement, cote de débordement ?
si oui, comment est prise en compte cela dans courbe ?

Présence ouvrage influençant écoulement et comment ? N.R.

Existe t il un contrôle aval ? N.R.

Extrapolation courbe :
Quelle méthode employée ? N.R.
Qualité globale de la partie extrapolée de la courbe ?

EN ETIAGE :
Ecoulements influencés par des rejets ? Non

Gêne de l'écoulement par de la végétation, ou autre ? non.

Présence ouvrage influençant écoulement et comment ? seuil pipe line SE

Existe t il un contrôle aval ? N.R.

Bilan sur Hydro :

Qualité des débits selon les années ? N.R.

Qualité des débits par gamme de débit ? N.R.

Etudes antérieures ayant étudié la qualité des courbes de tarage , réf ? N.R.
","03/07/06 00:00:00","10",,,,,,"01/31/22 14:37:00",,"A286011002","A2860110",
133,"A2352021","SELESTAT (PONT RD 1083)","Le Giessen",980.14,2376.06,,260,"S","115680",3.42,0.13,51,82,100,"A2352021","carte ign selestat.ribeauville 3717 ET série bleue

Responsable et gestionnaire de la station: Guillaume PHILIPPS


STATION CPL /LPN/8

ALIMENTATION PAR CAPTEUR SOLAIRE
Télétransmission par ligne RTC N° 03 90  57 21 48


SECURITE:
L'accès à la station ne pose pas de problème.
Le véhicule se gare sans danger.

Jaugeage au moulinet: il s'effectue en amont du pont de la RN 83.
Pas de problèmes spécifiques; la limite en hauteur à l'échelle limni. pour le passage à gué est de 80 cm, en rive gauche les profondeurs sont plus importantes.

Jaugeage au saumon: Possible à partir du pont de la RN 83. 

Le risque est celui lié à la circulation routière en conséquence le chantier mobile est à mettre en oeuvre e le triangle triflash doit être levé et activé durant toute la durée du chantier.

Jaugeage avec le STREAM-PRO méthode ADCP à partir du pont de la RN 83.


RECOMMANDATIONS:
Jaugeage au moulinet: pour accéder à la rivière, il y a risque de chute en cas de glissade sur le talus.
Jaugeage au SAUMON, mettre en oeuvre le chantier mobile et les EPI. 
Jaugeage STREAM PRO: revêtir les EPI.
","11/16/06 00:00:00","00",,,,,,"03/21/23 13:45:00",,"A235020001","A2350200",
135,"A1","PUITS DE JACOB","Altrhein",,,,,"V","115680",,,,,,"P1","Jaugeages pour le coefficient de débit des ouvrages pour le service de l'ill.","10/24/06 00:00:00",,,,,,,,,,,
137,"2","PUIT JACOB TUMENRHEIN","Thumenrhein",,,,,"V","115680",,,,,,"2","service de l'ill","10/24/06 00:00:00","10",,,,,,"02/14/11 17:24:00",,,,
140,"A287030","ESCHAU-RHIN TORTU","Rhin Tortu",,,,,"V","115680",,,,,,"A287030","MA",,"10",,,"PLOBSHEIM",,,"05/03/07 16:50:00","02/19/07 14:30:00",,,
144,"A287044","ESCHAU-SCHWARTZWASSER","SCHWARTZWASSER",,,,,"S","115680",,,,,,"A287044",,,,,,,,,"05/03/07 16:51:00","02/19/07 15:29:00",,,
145,"A264003","ESCHAU-WIBOLSHEIM","ill",,,,,"V","115680",,,,,,"A264003","latitude N 48°28'53""
            E  7°42'24""",,"10",,,,,,"11/19/09 16:44:00","04/16/07 16:44:00",,,
147,"A264031","ESCHAU-WIBOLSHEIM BRAS DE DÉCHARGE","petite ill",,,,,"S","115680",,,,,,"A264031","PETITE ILL en effet l'ILL passe dans la centrale d'hydrovolt

LATITUDE: N 48°28'39""
                 E   7°42'06""",,"10",,,,,,"11/19/09 16:50:00","04/18/07 15:39:00",,,
148,"A2280350","CHASSEUR FROID ROBERTSAU_TOTAL","Ill",1001539,2416547,,4600,"S","115680",58.4,36,150,180,210,"A2280350","Station gérée par le SNS jusqu'au 01/09/2007, date de sa reprise par la DIREN Alsace (DREAL depuis le 01/01/2010)
Depuis le 26/10/2009, les horaires de cette station, sont exprimés en Temps Universel (TU).
L'hydromètre gestionnaire de cette station est Guillaume PHILIPPS.
Elle est actuellement équipée d'une CPL PARATRONNIC qui est reliée à 2 capteurs dits intelligents : 1 LPN/8 + 1 SEBA light.
N° téléphone: 03 88 45 75 04
Jaugeages: 
Les jaugeages pour cette station ne comportent aucun risque particulier concenant la méthode ADCP.
Pour avoir le débit au droit de la station, il faut effectuer un jaugeage sur l'Ill en aval du Pont PHARIO à partir de la passerelle qui relie la CITE DE L'ILL à LA STATION TRAM MARC BLOCH.
Pour jauger le canal de la papeterie, il faut le réaliser sur le pont du cimetière Nord de la ROBERTSAU en amont de la papeterie.Nous observons que ce débit est constant en effet tous les jaugeages effectués à ce jour, se situe entre 14 et 16 m3/s.
Le zéro de l'échelle :131.664 IGN 69",,"00",,,,,,"02/04/16 13:48:00","06/20/07 16:38:00","A228003001","A2280030",
149,"A2940031","LA WANTZENAU","ILL",1004.45,120.75,312,4736.1001,"S","115680",,,,,,"A2940031","CARTE 1/25000 BRUMATH 7-8","06/28/07 10:11:00","10",,,,,,"06/28/07 10:13:00","06/28/07 10:11:00",,,
151,"A2280352","CHASS.FROI-ROBERTSAU CANAL PAP","Canal de la papeterie",1000.9,115.53,,,"S","115680",,,,,,"A2280352","station de jaugeage située en amont de la papeterie de la ROBERTSAU et en Amont de la station du Chasseur foid.
Le débit est à ajouter au débit jaugé sur la passerelle de la cité de l'ill ou l'ill jaugé à partir du pont PHARIO à la cité de l'ill.",,"10",,,,,,"10/17/14 08:44:00","10/24/07 16:15:00",,,
153,"A2240282","ERSTEIN-MUHLBACH-AVAL STEINSAU","muhlbach",,,,,"V","115680",,,,,,"A2240282",,,"10",,,,,,"01/27/10 09:34:00","05/27/08 08:11:00",,,
163,"A220030","SELESTAT_ILL","ILL",979.9400000000001,74.63,,,"V","115680",,,,,,"A220030","SELESTAT 1/25000 . 7-8",,"10",,,,,,"08/22/08 08:25:00","08/22/08 08:25:00",,,
164,"A2244713","SAND AVAL","Hanfgraben",991.725,88.40000000000001,,,"S","115680",,,,,,"A2244713","BENFELD 1-2

STATION Installée le 24 janvier 1985 et arrêtée le 09 janvier 1990.",,"10",,,,,,"08/27/08 12:34:00","08/25/08 08:46:00",,,
165,"A2244711","SAND SOURCE","HANFGRABEN",,,,,"S","115680",,,,,,"A2244711",,,,,,,,,"08/27/08 12:41:00","08/27/08 11:14:00",,,
166,"A224472","SAND AMONT","Hanfgraben",,,,,"S","115680",,,,,,"A224472",,,,,,,,,"08/27/08 11:19:00","08/27/08 11:19:00",,,
167,"A2244700","SAND STATION","Hanfgraben",,,,,"S","115680",,,,,,"A2244700",,,,,,,,,"02/04/25 16:28:00","08/27/08 12:40:00","A237047001","A2370470",
168,"A2407310","BINDERNHEIM","Lehgraben",990.65,79.5,,,"S","115680",,,,,,"A2407310","Carte 1/25000 :BENFELD 5-6

Station installée le 07/07/1978 et arrêtée le 05/01/1981",,"10",,,,,,"02/04/25 16:09:00","09/05/08 09:16:00","A241082001","A2410820",
169,"A225030","HIPSHEIM-ILL","ILL",,,,,"V","115680",,,,,,"A225030","Jaugeage pour service de l'ill

LATITUDE: N =48°27'38""
                 E =  7°41'05""",,"10",,,,,,"11/19/09 16:56:00","03/18/09 16:26:00",,,
170,"A225033","HIPSHEIM ","PETITE ILL",,,,,"V","115680",,,,,,"A225033","Jaugeages pour le service de l'ill

latitude: N=48°27'54""
             E= 7°40'48''",,"10",,,,,,"11/19/09 17:01:00","03/18/09 16:27:00",,,
171,"A2280353","CHASSEUR FROID ROBERTSAU","ILL",,,,,"S","115680",,,,,,"A2280533","station gérée par Guillaume PHILIPPS",,"10",,,,,,"05/18/11 15:56:00","03/25/09 14:38:00",,,
