noct,nopt,h,q
3543,2,220,0.090000004
3543,3,240,0.15000001
3543,4,260,0.22
3543,5,270,0.25999999
3543,6,280,0.31
3543,7,290,0.37
3543,8,310,0.49000001
3543,9,330,0.63
3543,10,350,0.79000002
3543,11,360,0.88
3543,12,370,0.98000002
371,8,350,0.30000001
371,9,550,0.80000001
371,10,1400,3.95
372,1,150,0
372,2,160,0.001
372,3,180,0.0049999999
372,4,190,0.0080000004
372,5,250,0.050000001
372,6,300,0.090000004
372,7,400,0.19
372,8,800,0.79000002
372,9,1100,1.54
373,1,150,0
373,2,160,0.001
373,3,180,0.0049999999
373,4,190,0.0080000004
373,5,250,0.050000001
373,6,300,0.090000004
373,7,400,0.19
373,8,800,0.79000002
373,9,1100,1.54
381,1,350,1.823
381,2,670,1.97
381,3,1100,3.8299999
397,1,630,0.013
397,2,634,0.014
397,3,637,0.015
397,4,639,0.016000001
397,5,645,0.02
397,6,650,0.024
416,1,130,0.14
416,2,160,0.2
416,3,210,0.34999999
416,4,300,0.70999998
416,5,370,1.0599999
416,6,400,1.24
416,7,420,1.4
416,8,430,1.5
416,9,440,1.62
416,10,460,1.9
416,11,500,2.5
416,12,600,4.1999998
416,13,800,7.5999999
416,14,1000,11
416,15,1500,21
418,1,100,0.14
418,2,110,0.185
418,3,120,0.235
418,4,130,0.28999999
418,5,140,0.34999999
418,6,150,0.41999999
418,7,170,0.57999998
418,8,190,0.77999997
418,9,220,1.14
418,10,240,1.4
418,11,290,2.0999999
418,12,350,3
418,13,400,3.5999999
418,14,500,4.5999999
418,15,600,5.4000001
418,16,800,6.8000002
418,17,1100,8.6000004
418,18,1500,11
459,1,100,0.07
459,2,110,0.13
459,3,120,0.2
459,4,140,0.36000001
459,5,150,0.44999999
459,6,160,0.55000001
459,7,170,0.66000003
459,8,180,0.79000002
459,9,190,0.93000001
459,10,260,1.98
459,11,320,3
459,12,400,4.5999999
469,1,100,0.2
469,2,150,0.40000001
469,3,240,1.12
469,4,350,2.2
469,5,400,2.8
469,6,450,3.5
469,7,550,5.0999999
469,8,600,6.0999999
469,9,650,7.1999998
469,10,700,8.5
469,11,710,8.8000002
469,12,800,11.5
469,13,900,15
469,14,1100,22
469,15,1500,38
517,1,100,0.12
517,2,110,0.14
517,3,150,0.23999999
517,4,170,0.30000001
517,5,210,0.44
517,6,250,0.60000002
517,7,290,0.80000001
517,8,330,1.04
517,9,350,1.1799999
517,10,370,1.34
517,11,390,1.52
517,12,420,1.8200001
517,13,460,2.3
517,14,500,2.9000001
541,1,0,0.18000001
541,2,20,0.28
541,3,50,0.49000001
541,4,90,0.88999999
541,5,160,1.9400001
541,6,200,2.6600001
541,7,280,4.8200002
541,8,330,6.3200002
541,9,440,10.5
541,10,500,13.5
541,11,600,20
541,12,800,35
541,13,1000,52
541,14,1200,74
541,15,1400,100
541,16,1500,115
542,1,20,0.34999999
542,2,50,0.5
542,3,100,0.89999998
542,4,200,2.9000001
542,5,300,5.6999998
542,6,400,9.5
542,7,450,11.5
542,8,500,14
542,9,600,20
542,10,800,35
542,11,1000,52
542,12,1200,74
542,13,1400,100
542,14,1600,130
543,1,50,0.40000001
543,2,100,0.89999998
543,3,200,2.9000001
543,4,300,5.6999998
543,5,400,9.5
543,6,500,14.5
543,7,600,20
543,8,700,27
543,9,800,35
543,10,900,45
543,11,1000,56
543,12,1100,68
543,13,1200,81
543,14,1300,95
543,15,1500,125
543,16,1600,142
543,17,1700,160
602,1,100,0.012
602,2,120,0.022
602,3,140,0.034000002
602,4,160,0.048
602,5,180,0.064000003
602,6,190,0.075000003
602,7,200,0.090000004
602,8,250,0.19
602,9,300,0.315
602,10,350,0.465
602,11,400,0.63999999
602,12,500,1.05
602,13,600,1.7
602,14,800,3.5
602,15,1000,5.6999998
602,16,1300,9.6000004
643,1,100,0.30000001
643,2,140,0.69999999
643,3,180,1.3
643,4,220,2.0999999
643,5,250,3
643,6,300,5
643,7,400,9
643,8,600,17
643,9,1500,53
643,10,2300,85
645,1,300,0.1
645,2,350,0.36000001
645,3,400,0.70999998
645,4,420,0.85000002
645,5,440,1.01
645,6,450,1.1
645,7,500,1.7
645,8,600,3.0999999
645,9,750,5.5
645,10,1000,10
645,11,1400,18
645,12,1800,28
645,13,2200,40
668,1,340,0.27000001
668,2,370,0.41999999
668,3,400,0.60000002
668,4,450,0.94999999
668,5,500,1.4
668,6,550,2
668,7,600,2.8
668,8,650,3.8
668,9,700,5
668,10,800,8
668,11,1200,27
668,12,1600,60
668,13,1800,80
669,1,450,1.2
669,2,500,1.8
669,3,550,2.5
669,4,600,3.4000001
669,5,650,4.4000001
669,6,700,5.5999999
669,7,800,8.6000004
669,8,1200,27
669,9,1600,60
669,10,2000,100
669,11,2400,144
670,1,250,0.25
670,2,300,0.60000002
3309,1,40,0.02
3309,2,60,0.050000001
3309,3,80,0.090000004
3309,4,120,0.25
3309,5,160,0.44999999
3309,6,200,0.70999998
3309,7,250,1.1
3309,8,300,1.7
3309,9,400,3.3
3309,10,500,5.3000002
3309,11,600,7.6999998
3309,12,700,10.5
3309,13,800,14
3310,1,60,0.039999999
3310,2,80,0.059999999
3310,3,100,0.1
3310,4,120,0.16
3310,5,160,0.31999999
3310,6,200,0.57999998
3310,7,250,0.98000002
3310,8,300,1.53
3310,9,350,2.23
3310,10,400,3.0999999
3310,11,500,5
3310,12,600,7.3000002
3310,13,700,10.1
3310,14,800,13.5
3310,15,900,17
3310,16,1000,20.700001
3310,17,1200,28.700001
3310,18,1300,33
670,3,350,1.1
670,4,400,1.7
670,5,450,2.4000001
670,6,500,3.3
670,7,550,4.3000002
670,8,600,5.4000001
670,9,700,8.1999998
670,10,800,11.7
670,11,1000,20.5
670,12,1200,32.5
670,13,1400,48
670,14,1600,66
670,15,2000,106
672,1,350,0.25
672,2,400,0.44999999
672,3,450,0.85000002
672,4,500,1.25
672,5,550,1.8
672,6,600,2.5
672,7,700,4.8000002
672,8,800,7.8000002
672,9,1200,27
