noct,ladate
1196088,"01/27/04 13:00:00"
1196088,"03/19/05 14:00:00"
1196088,"02/24/10 10:37:00"
1196088,"05/06/09 09:20:00"
1196088,"04/25/12 08:45:00"
1196088,"04/26/05 17:00:00"
1196088,"01/24/12 12:50:00"
1196088,"11/03/11 10:20:00"
1196088,"10/18/11 11:50:00"
1196088,"01/23/09 15:00:00"
1196088,"03/09/06 00:00:00"
1196089,"09/10/02 00:00:00"
1196089,"03/30/09 09:00:00"
1196089,"05/06/09 10:00:00"
1196089,"03/08/06 15:00:00"
1196089,"03/09/06 12:00:00"
1196089,"03/19/05 15:00:00"
1196089,"03/29/95 15:00:00"
1196089,"06/14/00 08:45:00"
1196090,"08/05/05 13:20:00"
1196091,"03/02/15 14:50:00"
1196091,"11/15/10 13:40:00"
1196095,"03/28/18 09:00:00"
1196095,"01/25/18 09:50:00"
1196095,"11/15/10 13:40:00"
1196095,"03/09/06 12:00:00"
1196095,"03/08/06 15:00:00"
1196095,"03/02/15 14:50:00"
1196095,"01/04/18 09:58:00"
1196095,"01/11/16 14:30:00"
1196096,"01/04/18 09:58:00"
1196096,"03/08/06 15:00:00"
1196096,"07/12/11 07:30:00"
1196096,"11/15/10 13:40:00"
1196096,"03/09/06 12:00:00"
1196097,"01/11/16 14:30:00"
1196097,"03/09/06 12:00:00"
1196097,"03/08/06 15:00:00"
1196098,"01/11/16 14:30:00"
1196098,"03/09/06 12:00:00"
1196098,"03/08/06 15:00:00"
1196098,"01/04/18 08:58:00"
1196098,"01/29/21 08:15:00"
1196099,"01/11/16 14:30:00"
1196099,"03/09/06 12:00:00"
1196099,"03/08/06 15:00:00"
1196099,"01/04/18 08:58:00"
1196100,"01/11/16 14:30:00"
1196100,"03/09/06 12:00:00"
1196100,"03/08/06 15:00:00"
1196100,"01/04/18 08:58:00"
1196100,"01/29/21 08:15:00"
1196106,"06/16/10 10:00:00"
1196107,"04/27/12 08:00:00"
1196107,"01/06/12 08:50:00"
1196107,"12/11/17 12:30:00"
1196107,"06/16/10 10:00:00"
1196107,"01/05/18 09:20:00"
1196107,"03/30/15 11:30:00"
1196107,"01/17/18 11:40:00"
1196107,"03/07/17 14:30:00"
1196107,"02/20/18 09:00:00"
1196108,"02/02/21 09:15:00"
1196108,"12/17/12 09:40:00"
1196108,"06/16/10 10:00:00"
1196108,"12/11/17 12:30:00"
1196108,"01/11/16 10:30:00"
1196108,"01/06/12 08:50:00"
1196108,"01/23/09 18:50:00"
1196108,"11/29/19 10:30:00"
1196108,"12/07/10 14:30:00"
1196108,"01/05/18 09:20:00"
1196116,"11/09/09 14:00:00"
1196116,"03/23/10 15:00:00"
1196116,"10/04/10 14:10:00"
1196116,"03/30/10 17:00:00"
1196116,"11/15/10 15:20:00"
1196116,"12/07/10 09:51:00"
1196116,"02/04/03 10:30:00"
1196116,"03/23/06 00:00:00"
1196116,"03/01/07 10:35:00"
1196116,"01/13/04 00:00:00"
1196116,"01/06/94 11:00:00"
1196116,"12/09/07 13:26:00"
1196120,"11/06/23 14:40:00"
1196120,"03/01/07 10:35:00"
1196120,"01/04/18 11:30:00"
1196120,"01/13/04 15:30:00"
1196121,"11/15/10 15:20:00"
1196121,"12/07/10 09:51:00"
1196121,"03/01/07 10:35:00"
1196121,"01/13/04 00:00:00"
1196121,"03/09/06 12:30:00"
1196121,"01/06/94 11:00:00"
1196121,"12/09/07 13:26:00"
1196121,"03/02/15 13:00:00"
1196121,"01/09/16 11:27:00"
1196122,"12/09/07 13:26:00"
1196122,"03/01/07 10:35:00"
1196123,"11/15/10 15:20:00"
1196123,"12/07/10 09:51:00"
1196123,"03/01/07 10:35:00"
1196123,"01/13/04 00:00:00"
1196123,"01/06/94 11:00:00"
1196123,"12/09/07 13:26:00"
1196123,"01/04/18 11:30:00"
1196124,"11/05/19 09:30:00"
1196124,"12/14/19 08:30:00"
1196124,"01/04/18 11:30:00"
1196124,"01/13/04 00:00:00"
1196124,"01/13/04 15:30:00"
1196129,"02/06/74 00:00:00"
