noct,nopt,a,b,h0,hsup
1612,4,0.009212,1.3399,-601,4000
1614,1,0,0,0,-557
1614,2,0.004014,1.4141,-557,269
1614,3,0.00748,1.3707,-378,600
1614,4,0.005075,1.4229,-397.7,2031
1614,5,0.008737999999999999,1.351,-428.5,4510
1615,1,0,0,0,-340
1615,2,0.002129,1.5389,-350,1260
1615,3,7.533e-06,2.2051,-975,1969
1615,4,0.03813,1.1857,-155,3850
1616,1,0,0,0,100
1616,2,4.834e-06,2.0458,100,370
1616,3,1.412e-05,1.9942,188,970
1616,4,0.0003934,1.6179,499,2686
1617,1,0,0,0,100
1617,2,1.037e-05,1.9453,100,529
1617,3,2.538e-05,1.9299,246,970
1617,4,0.0001042,1.7799,398,2700
1629,1,0,0,0,198
5728,1,0,0,0,-557
5728,2,0.002046,1.5195,-557,110
5728,3,0.004603,1.4014,-536.8,448
5728,4,0.005185,1.4229,-368.2,2019
5728,5,0.008706999999999999,1.351,-441.5,4510
1629,2,9.352999999999999e-05,1.569,133.2,387
1629,3,0.002305,1.1153,251,485
1629,4,0.0002087,1.6426,309.9,750
1629,5,0.0004432,1.5893,413.9,2546
1630,1,0,0,0,189
1630,2,2.911e-05,1.6778,88.09999999999999,340
1630,3,2.003540820806411e-05,1.908447265625,182.7326551244038,574
1630,4,2.153e-05,1.9756,266.1,962
1630,5,0.0002455,1.6641,415,2504
1631,1,0,0,0,189
1631,2,0.0001482,1.3966,109,334
1631,3,0.0001138,1.6333,213,570
1631,4,0.001949,1.2911,382,730
1631,5,0.0002224,1.6778,400,952
1631,6,0.0001691,1.7085,373,2504
1632,1,0,0,0,189
1632,2,0.0001482,1.3966,109,334
1632,3,0.0001138,1.6333,213,570
1632,4,0.001949,1.2911,382,730
1632,5,0.0002224,1.6778,400,952
1632,6,7.779e-05,1.8035,316,2504
1633,1,0,0,0,199
1633,2,1.001e-05,1.9326,103,387
1633,3,0.002305,1.1153,251,485
1633,4,1.993e-05,1.9591,233,777
1633,5,5.64e-05,1.847,323,2546
1634,1,0,0,0,198
1634,2,0.0001077,1.569,155,387
1634,3,0.002305,1.1153,251,485
1634,4,4.579e-05,1.8536,265,782
1634,5,4.626e-05,1.8701,294,2546
1635,1,0,0,0,198
1635,2,9.352999999999999e-05,1.569,133.2,387
