"","start_day_1975","start_day_1976","start_day_1977","start_day_1978","start_day_1979","start_day_1980","start_day_1981","start_day_1982","start_day_1983","start_day_1984","start_day_1985","start_day_1986","start_day_1987","start_day_1988","start_day_1989","start_day_1990","start_day_1991","start_day_1992","start_day_1993","start_day_1994","start_day_1995","start_day_1996","start_day_1997","start_day_1998","start_day_1999","start_day_2000","start_day_2001","start_day_2002","start_day_2003","start_day_2004","start_day_2005","start_day_2006","start_day_2007","start_day_2008","start_day_2009","start_day_2010","start_day_2011","start_day_2012","start_day_2013","start_day_2014","start_day_2015","start_day_2016","start_day_2017","start_day_2018","start_day_2019","start_day_2020","start_day_2021","start_day_2022","start_day_2023","start_day_2024","start_day_2025"
"K533311001 VIEURE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,285,NA,244,NA,NA,NA,NA,NA,NA,NA,15,NA,315,182,NA
"K523401001 VAUX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,177,NA,NA,NA,233,NA,202,196,NA,NA,274,NA,NA,NA,NA
"K534321001 MALICORNE [BEAUFRANCON]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA,NA,NA,99,140,82,NA,244,NA,NA
"K508301001 ST PARDOUX [HS]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K602242001 LOYE-SUR-ARNON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289,NA,NA,NA,299,NA,268,NA,NA,NA
"K485301001 CHOUZY S/ CISSE (LE VAU) [HS]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,60,95,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K033301001 VOREY [PONT EYTRAVAZET]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265,249,273,266,258,NA,203,263,282,NA,NA
"K040302002 LES VASTRES [PONT MARIE]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,NA,NA
"K045402001 DUNIERES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,324,NA,NA,NA,NA,304,NA,299,NA,304,NA,NA,NA
"K051301001 SAUVESSANGES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,298,197,231,NA,NA
"K141401001 SAINT-LEGER-SUR-VOUZANCE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K153301001 SAINT-PRIX",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,269,NA,NA,NA,NA,NA,106,NA
"K074401001 DEBATS RIVIERE D' ORPRA (COTES)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,205,NA,261,NA,NA,NA,NA,NA
"K531301001 COSNES D'ALLIER (AUMANCE) [HS]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,178,228,194,234,297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"K536322001 COSNES D'ALLIER (OEIL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,NA,121,92,NA,NA,NA,NA,NA,258,242,65,NA,NA,59,182,NA
